DAY,HR,5G,REGION,MARKET,MARKET_DESC,S5NR_TotalERABSetupFailureRate_%,ErabAddAtt_per_GNB,S5NR_DLMACLayerDataVolume_MB,S5NR_ULMACLayerDataVolume_MB,S5NR_TotalDLRLCLayerDataVolume_MB,S5NR_TotalULRLCLayerDataVolume_MB,S5NR_DLUserPerceivedTput_Mbps,S5NR_ULUserPerceivedTput_Mbps,5GNR_ENDC_Drop_%_den,5GNR_ENDC_Drop_%_num,5GNR_ENDC_Drop%,S5NR_RACH_SR%,S5NR_DLPRBUtilization_%,S5NR_ULPRBUtilization_%,S5NR_IntragNBHOFailRate_%,S5NR_IntragNBHOFailRate_den,S5NR_IntragNBHOFailRate_num,S5NR_IntergNBHOFailRate_%,S5NR_IntergNBHOFailRate_den,S5NR_IntergNBHOFailRate_num,S5NR_RACH_CB_SR%,S5NR_RACH_CF_SR%,S5NR_RACH_Att_MSG2_CB,S5NR_RACH_Att_MSG2_CF,S5NR_RACH_Att_MSG3_CB,S5NR_RACH_Att_MSG3_CF,S5NR_RACH_Att_MSG5_CB,S5NR_PUCCH_BLER_%,EndcRelBySgnb_DL_randomAccessProblem,EndcRelBySgnb_DL_rlcMaxNumRetx,EndcRelBySgnb_DL_scgReconfFailure,EndcRelBySgnb_DL_srb3IntegrityFailure,EndcRelBySgnb_DL_t310Expiry,EndcRelBySgnb_UL_outOfSync,EndcRelBySgnb_UL_srb3IntegrityFailure,EndcRelBySgnb_per_GNB,EndcRelByMeNB_radioConnectionWithUeLost,EndcRelByMenb_per_GNB,ENDCRELBYMENB_UECUSTOMSIGNATURE_FAILRADINTERPROC,ENDCRELBYMENB_UEPOWERSAVING,ENDCRELBYSGNB_MRBASEDSUSPENDRESUME,ENDCRELBYSGNB_USERINACTIVITY,EndcRelBySgnb_DL_syncReconfFailure,EndcRelBySgnb_UL_rlcMaxNumRetx,ErabAddSucc_per_GNB,CellAvailPmPeriodTime,CellAvailability,CellUnavailableTimeDown,S5NR_PUSCHAvgSINR_dB,S5NR_PUCCHAvgSINR_dB,CAUSEE1APTRANSPORTLAYERUNSPECIFIED,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,S5NR_PDCCH_SlotRationBlocking_DL_%,S5NR_PDCCH_SlotRationBlocking_UL_%,S5NR_PDCCH_SlotRationBlocking_Tot_%,S5NC_DRBDrop_%_SA,S5NC_DRBSetupFail_%_SA,S5NR_TotalERABSetupFailureRate_%_num,S5NR_TotalERABSetupFailureRate_%_den,S5NC_DRBDrop_num_SA,S5NC_DRBDrop_den_SA,S5NC_DRBSetupFail_num_SA,S5NC_DRBSetupFail_den_SA,Sum_DLRLCDataVolume_MB
09/02/2025,08,5GNR,Upstate New York,070,Buffalo,0.08,1291284,12799223.84,1109560.63,11573523.61,727469.01,124.54,2.91,1824634,29964,1.64,81.52,1.88,1.75,0.34,581691,1989,0.91,325018,2963,54.46,91.83,981626,2577938,562737,2367291,534580,1.14,8518,78,4,0,1808,0,0,4817,0,703359,68420,34,0,62071,6282,6,1290278,24447492,88.17,2829484,14.47,8.8,0,0,0.96,1.8,1.17,0.65,0.02,1006,1291284,2809,429393,84,429996,12658964.36
Total,*,*,*,*,*,0.08,1291284,12799223.84,1109560.63,11573523.61,727469.01,124.54,2.91,1824634,29964,1.64,81.52,1.88,1.75,0.34,581691,1989,0.91,325018,2963,54.46,91.83,981626,2577938,562737,2367291,534580,1.14,8518,78,4,0,1808,0,0,4817,0,703359,68420,34,0,62071,6282,6,1290278,24447492,88.17,2829484,14.47,8.8,0,0,0.96,1.8,1.17,0.65,0.02,1006,1291284,2809,429393,84,429996,1.265896436E7
