DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
09/04/2025,17,5GNR,Florida,143,Jacksonville,JEA_RIVERTOWN,1439567,0001,0002,0,0,NaN,NaN,0,0,NaN,45,6.72,0,95.56,32.42,0.98,0.92,47.93,1.3,10.9,1.52,0,0,360.04,33.03,0,0,100,48.63,NaN,94.64,0,5.58,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0.03,NaN,6.46,0,0,1,1.33,NaN,-120.5,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,JEA_RIVERTOWN,1439567,0001,0003,0,1,0,4.07,0,1,0,36.61,0.62,0,98.71,9.45,0.08,0.25,14.55,2.2,32.83,1.68,9,221,292.87,8.92,1,1,100,14.55,0,1.69,0,0.62,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,0,0,0,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,-120.47,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,JEA_SAN_MATEO,1437041,0001,0001,0,1151,0,0.61,22,1139,1.93,14736.27,1281.77,52,99.31,8.37,47.13,24.32,89.74,1.45,84.16,15.11,63305,10367057,117890.19,1400.77,1151,1151,100,90,1.93,11542.5,12732.53,1065.73,11.72,3.57,0,2.87,3.25,11.02,3.18,86.78,1.65,0.19,0,10614.75,857.69,8.52,1.35,6,3,3,6,168,0,161,0.02,0.3,0,0,3,0,0,5,2,0,0,5,0,3.84,0.05,314.36,0.63,0,0,2,2.45,NaN,-112.67,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,JEA_SAN_MATEO,1437041,0001,0002,1,726,0.14,0.39,11,678,1.62,40110.96,2792.43,56,99.06,5.37,74.09,55.51,120.36,3.28,100.36,20.94,13381,3398406,320887.66,3197.4,726,725,100,115.1,1.62,28289.78,38370.05,2361.16,137.85,1.02,0,25245.97,1680.11,4.19,3.47,64.69,1.88,0.15,0.19,2925.19,388.61,14.68,3.03,35,17.5,20,2,196,0,199,89.24,71.16,0,0,2,0,0,2,1,0,0,2,0,0.08,0,NaN,NaN,0,0,1,1.87,NaN,-114.38,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,JEA_SAN_MATEO,1437041,0001,0003,1,1014,0.1,4.59,18,1014,1.78,10758.46,790.81,30,97.67,6.36,33.32,20.88,105.78,2.6,71.58,13.19,526934,11475438,86067.68,1202.44,1014,1013,100,98.17,1.78,8553.6,9307.71,682.07,295.9,12.5,0,1627.74,81.54,3.91,2.79,71.93,1.6,1.2,0.1,5938.32,457.73,7.66,2.2,5,2.5,3,2,16,0,12,19.03,11.95,NaN,0,0,0,0,2,1,0,0,2,0,0.04,0.02,NaN,8.5,NaN,0,1,2.46,NaN,-115.35,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,JEA_SAN_MATEO,1439041,0001,0001,0,21,0,0.14,0,23,0,432.51,45.54,1,99.63,25.68,3.59,4.63,113.5,3.7,20.76,2.82,21,15204,3460.05,166.64,21,21,100,115.76,0,823.36,7.75,45.44,NaN,NaN,NaN,0,0,NaN,NaN,39.37,0,NaN,0,7.75,0.39,33.92,1.15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,2,0,3.11,0,9.5,NaN,0,0,2,1.85,NaN,-119.47,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,JEA_SAN_MATEO,1439041,0001,0002,0,61,0,0.37,0,76,0,458.03,157.71,2,99.35,7.22,5.98,7.11,97.01,10.79,14.31,5.86,244,66551,3664.22,256.02,61,61,100,101.33,0,1103.47,15.63,157.73,NaN,NaN,NaN,0,0,NaN,NaN,28.1,0,2.86,0,15.63,1.78,20.73,1.76,0,0,0,0,0,0,0,0,0,0,0,17,0,0,20,2,0,0,20,0,5.9,0.02,88.98,5.9,0,0,3,10.43,0,-119.42,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,JEA_SAN_MATEO,1439041,0001,0003,0,21,0,0.61,0,25,0,135.9,21.3,1,99.43,15.49,2.4,3.08,59.48,2.84,9.8,1.97,168,27573,1087.2,110.95,21,21,100,60.9,0,222.19,4.51,22.91,NaN,NaN,NaN,0,0,NaN,NaN,23.28,0,60,0,4.51,0.12,36.08,0.47,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,1,0,0,6,0,8.89,0,25.84,NaN,0,0,1,1.72,NaN,-119.47,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,JEA_ST_JOHNS_FOREST,1437527,0001,0001,4,2924,0.14,4.32,165,2735,6.03,32692.6,2701.88,88,98.69,7.98,76.56,47.42,77.71,1.14,95.76,19.61,3066796,71021036,261540.77,2731.26,2924,2920,100,80.13,6.03,22823.8,29755.22,2200.05,134.69,8.33,0,9050.96,399.29,3.22,2.26,65.39,5.95,0.77,0.14,12347.47,1521.53,11.45,1.08,13,6.5,7,8,96,0,94,39.66,18.15,0,0,4,0,0,10,1,0,0,10,0,0.46,0.04,3.44,7.4,0,0,1,2.42,NaN,-114.45,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,JEA_ST_JOHNS_FOREST,1437527,0001,0002,0,913,0,5.91,22,886,2.48,39981.43,2829.52,62,98.81,4.36,67,51.88,130.26,2.06,107.04,23.46,377069,6378218,319851.4,2988.04,913,913,100,126.83,2.48,29297.56,32735.47,2301.14,148.47,0.95,0,19511.77,579.16,3.42,2.19,77.68,3.34,0,0,4812.77,452.52,9.26,1.08,34,17,18,3,317,0,320,66.6,25.17,0,0,3,0,0,13,2,0,0,13,0,0.4,0,10.95,NaN,0,0,2,4.06,NaN,-115.1,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,JEA_ST_JOHNS_FOREST,1437527,0001,0003,0,2547,0,0.89,27,2466,1.09,70760.54,4540.42,121,98.22,6.64,73.89,66.21,104.85,2.3,148.43,34.14,338751,37940112,566084.34,3813.93,2547,2547,100,105.85,1.09,50790.6,59453.85,3492.87,138.35,0.21,0,26867.54,575.07,4.41,1.29,75.45,1.31,1.06,0,15599.14,1584.45,10.49,2.15,38,19,26,1,482,0,479,52.9,16.46,0,0,56,0,0,55,3,0,0,55,0,18.56,0.32,238.64,6.11,0,0,3,1.91,0,-115.36,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,JEA_ST_JOHNS_FOREST,1439527,0001,0001,0,0,NaN,NaN,0,0,NaN,534.66,137.58,0,98.13,14.28,10.34,9.95,53.46,2.67,11.95,2.96,0,0,4277.29,358.04,0,0,100,53.44,NaN,580.26,0,102.58,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,2,0,0,9,0,0.44,0,26.31,NaN,0,0,2,1.33,0,-119.4,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,JEA_ST_JOHNS_FOREST,1439527,0001,0002,0,0,NaN,NaN,0,0,NaN,704.72,183.64,0,99.1,10.79,9.72,10.62,78.73,6.23,14.74,4.2,0,0,5637.77,382.4,0,0,100,80.32,NaN,880.74,0,157.29,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,14,0,0,23,2,0,0,23,0,1.64,1.94,33.42,2.31,0,0,2,1.45,NaN,-119.63,0
