DAY,HR,5G,REGION,MARKET,MARKET_DESC,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT,DL_GTP_Data_Volume_MB,ENDC_Sessions,Intra_CU_HO_Attempts,Intra_CU_HO_Success,Intra_CU_HO_Success_Rate_%,Max_ENDC_Sessions,SgNB_Modification_Attempts,SgNB_Modification_Success,SgNB_Modification_Success_Rate_%,UL_GTP_Data_Volume_MB,Drop_Den,Drop_Num,Drop_rate_%,Attach_Success_Den,Attach_Success_Num,Attach_Success_rate_%
09/05/2025,08,5GNR,New England,056,Boston - W Roxbury 1,1773.34,62,0,0,NaN,12,1547,1548,100.06,317.93,99.97,3059,3060,0.26,8,3053,101.65,6.96,0.08,0.03,1.23,0.06,77.24,77.24,62,3060,16528.69,16485.33,1801.18,63,0,0,NaN,18,1551,1549,99.87,333.73,3065,8,0.26,3070,3069,99.97
Total,*,*,*,*,*,1773.34,62,0,0,NaN,12,1547,1548,100.06,317.93,99.97,3059,3060,0.26,8,3053,101.65,6.96,0.08,0.03,1.23,0.06,77.24,77.24,62.0,3060.0,16528.69,16485.33,1801.18,63.0,0,0,NaN,18,1551.0,1549.0,99.87,333.73,3065,8,0.26,3070,3069,99.97
