DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%,pmHoExeAttOutIntraGnb,pmRadioRaCbFailMsg1Ooc
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0003,04,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0003,08,1,70,1.43,1.67,1,74,1.35,478.63,123.36,3,98.88,11.96,6.45,8.87,31.86,5.11,11.99,4.25,1446,86730,3829.02,319.34,70,69,100,32.61,1.35,656.08,74.53,102.98,NaN,NaN,NaN,0,0,NaN,NaN,20.66,1.39,22.22,1.47,74.53,8.53,6.33,1.32,0,0,0,0,0,0,0,0,0,14.16,1236,175,-117.87,0,74,3
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0001,08,0,433,0,2.63,3,425,0.71,770.27,203.22,9,98.3,10.65,10.29,13.33,41.66,5.12,12.84,4.39,24248,921424,6162.14,479.87,433,433,100,43.01,0.71,1083.56,528.69,203.53,13.79,0,0,0.39,0.57,13.83,4.51,32.39,0.75,11.27,0,528.31,120.66,11.99,9.31,1,1,1,0,23,0,6,0.04,0.28,32.43,2072,672,-120.32,0,32,31
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0001,10,1,473,0.21,6.91,12,469,2.56,9293.93,448.44,30,99.67,5.02,46.77,28.26,151.79,1.87,91.35,10.65,158241,2289793,74351.47,813.94,473,472,100,152.3,2.56,8515,7243.09,447.14,366.55,0,0,3135.16,25.71,2.96,1.83,69.84,2.68,0,0.22,4107.92,337.89,6.62,1.69,6,6,6,0,21,0,28,36.82,5.75,51.11,4516,2308,-115.17,0,146,82
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0001,11,0,194,0,8.2,3,140,2.14,3246.29,218.71,20,99.6,5.36,27.26,19.56,76.97,8.59,46.09,8.91,16296,198850,25970.33,563.41,194,194,100,76.96,2.14,3478.31,3470.37,218.62,102.05,0,0,949.65,21.11,1.54,9.77,74.36,2.33,0,0,2520.72,180.1,6.69,8.57,5,5,5,0,11,0,12,27.3,9.66,51.75,941,487,-115.34,0,12,3
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0002,08,0,957,0,0.55,11,892,1.23,4939.51,792.89,27,98.66,13.58,39.46,56.7,33.96,6.31,19.36,4.47,28710,5262543,39516.12,2041.24,957,957,100,34.71,1.23,7523.24,5660.51,792.72,47.55,0,0,130.57,6.88,11.07,9.28,29.81,1.29,1.68,0,5529.93,616,13.6,6.79,2,2,2,0,39,0,37,1.74,0.87,28.1,5469,1537,-119.76,0,155,1
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0002,10,0,663,0,4.29,17,753,2.26,14116.99,1023.51,31,99.64,2.92,63.28,47.14,83.46,4.51,83.19,17.97,225420,5256264,112935.95,1357.55,663,663,100,83.57,2.26,10410.06,7688.38,1027.58,234.92,3.23,0,4007.11,436.95,1.18,6.51,67.72,2.22,0.07,0,3679.99,433.25,5.36,2.68,6,6,6,1,31,0,30,38.49,42.52,52.15,7588,3957,-114.56,0,225,0
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0002,11,0,222,0,5.6,0,164,0,2432.06,128.85,9,99.38,10.79,20.16,11.38,110.87,7.15,59.37,7.1,16872,301032,19456.49,327.71,222,222,100,113.24,0,2832.03,2820.27,128.52,146.45,0,0,1188.56,20.32,1.67,14.57,108.65,0,0,0,1593.77,64.77,16.94,6.7,2,2,2,0,7,0,9,41.97,15.81,55,1280,704,-114.94,0,12,2
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0003,08,0,315,0,1.28,3,309,0.97,2944.62,392.91,11,99.03,16.55,21.71,31.14,44.94,4.65,21.01,4.02,15750,1227555,23556.98,1121.01,315,315,100,45.36,0.97,3470.68,2855.89,393.97,50.74,NaN,NaN,1611.79,185.45,14.55,8.81,38.98,0.97,1.13,0,1244.1,87.68,16.55,6.71,1,1,1,0,0,0,0,46.44,47.07,39.43,3847,1517,-120.35,0,154,2
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0003,10,0,871,0,5.14,18,816,2.21,9023.14,1197.67,38,98.95,8.45,70.03,38.2,93.19,2.78,65.61,19,431145,8386859,72185.14,1100.14,871,871,100,93.3,2.21,7937.95,7725.9,1196.64,141.03,1.52,0,3141.35,587.36,2.23,5.17,83.81,2.34,0,0,4584.55,480.81,12.88,1.68,12,12,12,2,132,0,132,39.57,49.08,53.11,9134,4851,-115.46,0,241,51
