DAY,HR,5G,REGION,MARKET,MARKET_DESC,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_SA_RRC_Setup_Fail_%,5G_SA_RRC_Setup_Fail_Num,5G_SA_RRC_Setup_Fail_Den,5G_SA_Bearer_Drop_%,5G_SA_Bearer_Drop_%_Num,5G_SA_Bearer_Drop_%_Den,5G_SA_HO_Exe_Failure_%,5G_SA_HO_Exe_Failure_%_Num,5G_SA_HO_Exe_Failure_%_Den,5G_SA_IRAT_Handover_Failure_%,5G_SA_IRAT_Handover_Failure_%_num,5G_SA_IRAT_Handover_Failure_%_den,5G_SA_RRC_Setup_Fail_%_Overall,5G_SA_RRC_Setup_Fail_Overall_Num,5G_SA_RRC_Setup_Fail_Overall_Den
09/27/2025,09,5GNR,Florida,143,Jacksonville,962,1420132,0.07,3.6,37917,1398352,2.71,37254070.83,2616658.89,67736,98.23,7.9,13.38,10.15,90.07,2.19,104.47,17.39,445113069284,12375771556904,298032566.63,2852896.39,1420132,1419170,96.68,90.21,2.71,36618714.89,28023082.52,2615267.89,111.62,1.67,0.02,17784728.83,825758.56,5.79,2.01,62.14,3.18,1.09,0.09,10054684.03,930837.98,13.55,1.38,26268,2.67,51,7454,445716,91,445795,48.57,31.57,36.81,8406786,3094339,0.13,1987,1528422,0.19,4335,2235716,0.65,4076,622423,0.92,719,78247,0.27,4737,1728746
Total,*,*,*,*,*,962,1420132,0.07,3.6,37917,1398352,2.71,37254070.83,2616658.89,67736,98.23,7.9,13.38,10.15,90.07,2.19,104.47,17.39,445113069284,12375771556904,298032566.63,2852896.39,1420132,1419170,96.68,90.21,2.71,36618714.89,28023082.52,2615267.89,111.62,1.67,0.02,17784728.83,825758.56,5.79,2.01,62.14,3.18,1.09,0.09,10054684.03,930837.98,13.55,1.38,26268,2.67,51,7454,445716,91,445795,48.57,31.57,36.81,8406786,3094339,0.13,1987,1528422,0.19,4335,2235716,0.65,4076,622423,0.92,719,78247,0.27,4737,1728746
