DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,0.01,11.99,205520.9,159383.55,245,190,48335,19160,0.86,720,4,0,617.64,0,4492,99.96,4492,4490,30
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,0,3.7,939524.1,44459.62,1120,53,149279,8432,2.34,720,7.88,1,1688.75,0,2472,99.8,2472,2467,11
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,0,0.58,113246.21,36909.88,135,44,6627,501,0,720,0,0,0,0,445,99.78,445,444,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,0.04,458.33,2353843.4,169449.88,2806,202,5163867,394456,26.1,3600,65.5,0,93974.12,0,208902,99.91,208899,208719,1764
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,0.01,560.96,3133145.09,226492.42,3735,270,4148175,331929,18.12,2160,46.75,0,39135.36,0,174689,99.94,174688,174587,1164
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709006,0.06,26.87,131701.15,53687.09,157,64,23269,15920,0.24,1440,2,0,345.51,0,6193,99.95,6193,6190,19
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700011,0.01,0.34,11744.05,5033.16,14,6,508,73,0,0,0,0,0,0,102,100,102,102,1
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700012,0,1.08,96468.99,109890.76,115,131,6296,3649,0,0,0,0,0,0,340,100,340,340,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700022,0,1.88,322961.41,69625.45,385,83,70551,8098,0,0,0,0,0,0,910,100,910,910,8
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709002,0.02,635.86,2693582.03,199648.87,3211,238,5166044,410435,0,0,0,0,0,0,194397,99.91,194396,194216,1455
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709099,0,6.23,58720.26,1677.72,70,2,7695,196,0,0,0,0,0,0,134,100,134,134,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,ROCH100_HNRT,0700100,0.03,0,461373.44,1677.72,550,2,1449,7,0,0,0,0,0,0,25,100,25,25,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
Total,*,*,*,*,*,*,*,0.01,1707.82,3133145.09,226492.42,3735,270,14792095,1192856,7.94,9360,65.5,0,135761.38,0,593101,99.92,593096,592624,4452
