DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0033,0033,01,190.48,12,342,338,98.83,17,148,148,100,1220.78,99.78,907,909,1.35,12,888,17.3,27.32,10.5,2.59,3.96,0.27,100,100,12,909,1775.43,1767.79
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0034,0034,01,0.12,0,1,1,100,1,1,1,100,0.05,100,1,1,0,0,1,46.51,6.18,0,0,0,0,100,100,0,1,1.09,1.09
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0035,0035,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0036,0036,01,99.92,4,258,255,98.84,8,38,38,100,1066.94,100,372,372,1.69,6,355,15.08,18.18,13.8,1.56,5.27,0.22,100,100,4,372,931.33,925.3
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0037,0037,01,117.1,3,231,229,99.13,10,31,31,100,73.01,100,282,282,0.72,2,276,35.92,8.24,2.1,0.76,7.8,0.49,100,100,3,282,1091.45,1088.97
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0038,0038,01,207.84,6,253,252,99.6,12,88,88,100,836.71,100,557,557,1.15,6,521,25.69,17.28,11.4,1.89,2.75,0.27,100,100,6,557,1937.18,1929.65
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0039,0039,01,212.72,4,290,286,98.62,9,38,38,100,573.89,99.76,417,418,0.8,3,374,31.91,13.19,10.25,1.56,3.11,0.29,100,100,4,418,1982.67,1974.83
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0040,0040,01,33.12,4,194,190,97.94,5,11,11,100,806.49,100,205,205,2.34,4,171,8.61,22.31,8.48,0.91,4,0.12,100,100,4,205,308.69,306
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_VILS_Portola_School,0470040,0000,0001,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_VILS_Portola_School,0470040,0000,0002,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
