Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'AUPF.CpuUsageAvg.percent','AUPF.CpuUsageMax.percent','AUPF.CpuUsageMin.percent','AUPF.DiskUsageAvg.percent','AUPF.DiskUsageMax.percent','AUPF.DiskUsageMin.percent','AUPF.MemUsageAvg.percent','AUPF.MemUsageMax.percent','AUPF.MemUsageMin.percent','AUPF.MemUsageTot.number','AUPF.DiskUsageTot.number','AUPF.CpuUsageTot.number','AUPF.DiskUsageCnt.number','AUPF.InThruPeak_VM.number','AUPF.OutThruPeak_VM.number'
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.46,0.92
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.07,0.05
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.01,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.27,0.24
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.01,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,2.64,2.5
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.03,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.04,1.51
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,538.13,542.36
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,736.9,742.06
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.44,1
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,450.86,453.61
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,349.46,350.76
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.44,1.03
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.02,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.19,0.15
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,2.9,2.85
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.02,0.05
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.23,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T00:00:00-05:00,3600,,,,,,,,,,,,,,0.24,0
