DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,0.08,13.18,202165.45,96468.99,241,115,60174,6827,2.91,720,10,1,2097.75,0,8064,99.65,8064,8036,62
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,0.01,5.9,1025087.9,130862.28,1222,156,117591,15704,2.37,720,14,0.75,1704.39,0,5232,99.71,5232,5217,69
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,0.01,0.76,89758.11,51170.51,107,61,13734,4016,0,720,0,0,0,0,1699,99.47,1699,1690,9
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,0.09,1412.49,1917635.79,200487.73,2286,239,5347129,470484,29.26,3600,67.5,0,105343.52,0.01,451859,99.91,451856,451464,3757
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,0.03,792.44,2337066.19,239914.19,2786,286,4728830,434042,21.73,2160,51.75,0,46944.76,0,391750,99.92,391745,391450,2771
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0709006,0.01,3.18,63753.42,13421.77,76,16,6227,873,0,1440,1.25,0,5,0,909,99.78,909,907,4
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0700011,0.01,0.15,84724.94,12582.91,101,15,2290,168,0,0,0,0,0,0,302,99.34,302,300,2
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0700012,0.01,28.45,1041026.25,160222.41,1241,191,131858,32798,0,0,0,0,0,0,16360,99.91,16360,16346,13
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0700022,0.01,4.02,1673527.3,413558.37,1995,493,60416,7825,0,0,0,0,0,0,2671,99.89,2671,2668,19
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0709002,0.05,1667.33,1884081.36,233203.3,2246,278,5323956,493393,0,0,0,0,0,0.01,413233,99.84,413204,412567,4529
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0709004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0709007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0709089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,HNRT,0709099,0.01,1.15,46137.34,51170.51,55,61,3751,624,0,0,0,0,0,0,407,100,407,407,1
09/27/2025,15,5GNR,Upstate New York,070,Buffalo,ROCH100_HNRT,0700100,0,0.04,56203.67,10066.33,67,12,353,68,0,0,0,0,0,0,118,100,118,118,1
Total,*,*,*,*,*,*,*,0.02,3929.09,2337066.19,413558.37,2786,493,15796309,1466822,9.38,9360,67.5,0,156095.42,0,1292604,99.89,1292567,1291170,11237
