"KpiResourcePropID","KpiResourceRelMbrID","PropNameExpr","PropValueExpr","CreatedDte","UpdatedDte","KpiResourceTypeID","created","updated"
5958,5949,NFName,NFName,1661843293,1661843293,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5959,5949,NFType,NFType,1661843293,1661843293,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5960,5949,interval,interval,1661843293,1661843293,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5973,5972,displayName,deviceName,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5974,5972,Market,Market,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5975,5972,Region,Region,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5976,5972,technology,technology,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5977,5972,version,version,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5978,5972,Site,Site,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5979,5972,Domain,Domain,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5980,5972,domainType,domainType,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5981,5972,NFName,NFName,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5982,5972,NFType,NFType,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5983,5972,interval,interval,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5996,5995,displayName,deviceName,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5997,5995,Market,Market,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5998,5995,Region,Region,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5999,5995,technology,technology,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6000,5995,version,version,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6001,5995,Site,Site,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6002,5995,Domain,Domain,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6003,5995,domainType,domainType,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6004,5995,NFName,NFName,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6005,5995,NFType,NFType,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6006,5995,interval,interval,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6021,6020,displayName,deviceName,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6022,6020,Market,Market,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6023,6020,Region,Region,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6024,6020,technology,technology,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6025,6020,version,version,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6026,6020,Site,Site,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6027,6020,Domain,Domain,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6028,6020,domainType,domainType,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6029,6020,NFName,NFName,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6030,6020,NFType,NFType,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
6031,6020,interval,interval,1661843294,1661843294,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7710,7709,displayName,deviceName,1661843305,1661843305,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7711,7709,Market,Market,1661843305,1661843305,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7712,7709,Region,Region,1661843305,1661843305,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7713,7709,technology,technology,1661843305,1661843305,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7714,7709,version,version,1661843305,1661843305,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7715,7709,Site,Site,1661843305,1661843305,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7716,7709,Domain,Domain,1661843305,1661843305,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7717,7709,domainType,domainType,1661843305,1661843305,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7718,7709,NFName,NFName,1661843305,1661843305,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7719,7709,NFType,NFType,1661843305,1661843305,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7720,7709,interval,interval,1661843305,1661843305,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7775,7774,displayName,deviceName,1661843306,1661843306,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7776,7774,Market,Market,1661843306,1661843306,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7777,7774,Region,Region,1661843306,1661843306,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7778,7774,technology,technology,1661843306,1661843306,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7779,7774,version,version,1661843306,1661843306,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7780,7774,Site,Site,1661843306,1661843306,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7781,7774,Domain,Domain,1661843306,1661843306,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7782,7774,domainType,domainType,1661843306,1661843306,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7783,7774,NFName,NFName,1661843306,1661843306,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7784,7774,NFType,NFType,1661843306,1661843306,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7785,7774,interval,interval,1661843306,1661843306,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
7828,7827,displayName,deviceName,1661843307,1661843307,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
