DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%,pmHoExeAttOutIntraGnb,pmRadioRaCbFailMsg1Ooc,EBSN_SA_NSA_DRB_Volume
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_RACEWAY,1437919,0001,0001,10,1,258,0.39,1.48,0,255,0,355.15,19.77,6,99.66,7.41,4.69,1.87,50.93,0.71,52.67,4.68,3137,212592,2841.22,53.95,258,257,100,50.74,0,292.95,252.15,19.76,50.58,0,0,2.16,0.9,12.91,0.34,48.96,0,0,1.75,249.73,14.54,8.15,0.6,4,4,4,0,204,0,201,0.74,4.56,47.12,815,384,-115.5,0,8,9,292.69
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_RACEWAY,1437919,0001,0001,11,0,85,0,0.53,0,81,0,67.6,7.42,3,99.51,3.4,0.72,0.37,203.3,12.68,51.31,11.48,85,15980,540.79,10.54,85,85,100,203.3,0,115.56,115.56,7.48,6.99,0,0,0.17,0.24,8.54,5.5,203.39,0,0,0,114.05,7.24,3.34,12.8,1,1,1,0,66,0,67,0.14,3.24,43.85,187,82,-116.48,0,0,1,114.22
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_RACEWAY,1437919,0001,0002,10,0,10,0,1.43,1,11,9.09,39.66,2.91,1,99.74,7.65,0.86,0.18,174.06,0.74,62.74,3.77,10,700,317.26,5.06,10,10,100,174.06,9.09,40.24,39.83,2.91,NaN,NaN,NaN,0,0,1,NaN,176.54,9.09,0,0,39.83,2.9,7.58,0.74,0,0,0,0,0,0,0,0,0.01,75.36,69,52,-115.5,0,1,1,40.24
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_RACEWAY,1437919,0001,0002,11,0,1,0,6.98,0,1,0,1.46,0.03,1,100,134.61,0.01,0.01,9.73,NaN,66.24,3.82,3,43,11.69,0.18,1,1,100,9.73,0,0.11,0.11,0.03,NaN,NaN,NaN,0,0,NaN,NaN,9.73,0,NaN,0,0.11,0.03,134.61,NaN,0,0,0,0,0,0,0,0,0,97.5,40,39,-115.5,0,0,3,0.11
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_RACEWAY,1437919,0001,0003,10,0,172,0,3.49,3,173,1.73,3664.29,107.74,9,99.38,12.48,30.62,23.05,45.34,0.97,44.16,3.91,3440,98556,29314.31,663.79,172,172,100,45.35,1.73,3464.21,3299.73,107.24,153.48,0,0,910.52,31.74,2.16,0.92,38.87,2.14,6.25,0,2387.11,70.27,16.6,0.97,2,2,2,0,33,0,34,26.28,29.6,52.44,553,290,-115.5,0,6,16,3460.66
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_RACEWAY,1437919,0001,0003,11,0,10,0,3.61,0,11,0,683.3,26.93,2,99.97,2.2,3.05,1.94,128.35,4.99,97.62,9.81,30,830,5466.43,56,10,10,100,128.34,0,749.54,749.49,26.97,133.47,0,0,724.28,25.48,1.65,6.16,79.56,0,0,0,23.36,1.48,16.3,1.31,1,1,1,0,1,0,1,96.63,94.47,77.5,80,62,-115.5,0,0,2,747.69
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST,1437655,0001,0001,10,0,2707,0,3.15,100,2613,3.83,90786.94,8211.26,120,96.75,102.06,99.91,77.08,11.39,0.75,327.18,91.31,1770378,56186492,726295.52,2219.89,2707,2707,100,11.38,3.83,106233.02,43587.81,8212.17,14.33,3.09,0,26681.17,1115.27,52.57,0.35,3.08,3.99,0.12,0,16646.17,1368.51,102.39,0.2,40,40,40,15,485,0,464,25.12,13.58,36.4,20102,7318,-113.39,0,115,411,105548.51
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST,1437655,0001,0001,11,0,829,0,2.4,4,821,0.49,44806.36,2136.52,57,98.85,66.13,92.23,77.15,9.11,1.83,161.31,25.74,61346,2554978,358450.89,2222.06,829,829,100,9.1,0.49,29426.67,29413.5,2140.23,14.45,0,0,24602.16,1394.74,55.75,1.75,2.92,0.77,0.14,0,4758.18,741.24,110.42,1.97,35,35,35,0,304,0,294,83.61,65.17,30.25,3008,910,-113.49,0,17,37,29373.3
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST,1437655,0001,0002,10,0,438,0,0.44,4,428,0.93,23912.11,1824.45,20,99.15,3.31,73.88,72.48,68.32,2.53,91.64,27.44,4818,1105074,191296.84,2087.39,438,438,100,68.35,0.93,21631.61,7594.49,1823.69,77.5,0,0,6018.8,189.81,2.52,0.82,43.71,2.63,0,0,1562.44,108.51,13.87,0.81,13,13,13,0,276,0,288,27.82,10.41,21.5,2512,540,-114.1,0,133,10,21594.35
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_GAINESVILLE_WEST,1437655,0001,0002,11,0,137,0,0.26,0,137,0,3331.71,232.72,14,99.25,10.43,28.22,35.42,64.34,4.86,26.13,9.16,137,53567,26653.68,1020.05,137,137,100,64.34,0,4278.76,4268.77,232.78,99.22,0,0,2350.93,135.56,4.15,3.8,48.92,0,0,0,1897.14,96.13,18.2,12.08,11,11,11,0,94,0,91,54.94,58.23,23.33,390,91,-113.78,0,16,0,4258.06
