DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,0.02,11.17,297795.58,97307.85,355,116,69590,31502,1.99,720,5.88,0.62,1432.36,0,8533,99.91,8533,8525,40
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,0.01,7.01,621595.85,72142.03,741,86,169969,11797,3.01,720,24.62,1,2168.99,0,3227,99.5,3227,3211,54
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,0.01,19.87,2203687.32,271790.9,2627,324,17823,1684,0,720,0,0,0,0,951,99.79,951,949,7
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,0.04,762.24,2624795.44,176160.77,3129,210,6249929,460065,30.8,3600,71.88,0,110871.52,0,271641,99.91,271624,271388,2003
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,0.03,1994.08,3292528.64,249980.52,3925,298,5293681,387827,22.4,2160,53.12,0,48392.76,0.01,230807,99.92,230804,230619,1479
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0709006,0.2,8.02,110729.63,41104.18,132,49,15599,8127,0.36,1440,3,0,523,0,2813,100,2813,2813,10
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0700011,0,0,38587.6,10066.33,46,12,989,81,0,0,0,0,0,0,234,100,234,234,0
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0700012,0,0.97,78852.92,26843.55,94,32,8504,958,0,0,0,0,0,0,477,100,477,477,1
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0700022,0,1.33,228170.14,33554.43,272,40,72280,7226,0,0,0,0,0,0,1415,100,1415,1415,22
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0709002,0.03,1964.34,2725458.74,193776.84,3249,231,6109443,466326,0,0,0,0,0,0.01,256441,99.9,256434,256187,2151
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0709004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0709007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0709089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,HNRT,0709099,0.1,0.8,23488.1,1677.72,28,2,1201,80,0,0,0,0,0,0,117,99.15,117,116,0
09/27/2025,21,5GNR,Upstate New York,070,Buffalo,ROCH100_HNRT,0700100,0,0,2516.58,0,3,0,4,0,0,0,0,0,0,0,20,100,20,20,0
Total,*,*,*,*,*,*,*,0.03,4769.83,3292528.64,271790.9,3925,324,18009012,1375673,9.76,9360,71.88,0,163388.63,0,776676,99.91,776649,775954,5767
