Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'sector.DL_GTP_Data_Volume_RN_MB','sector.ENDC.Sessions.RN','sector.Intra.CU.HO.Attempts.number','sector.Max.ENDC.Sessions.RN.number','sector.Intra_CU_HO_Attempts_RN','sector.Intra_CU_HO_Success_RN','sector.Intra_CU_HO_Success_Rate_RN_pct','sector.SgNB_Modification_Attempts_RN','sector.SgNB_Modification_Success_RN','sector.SgNB_Modification_Success_Rate_RN_pct','sector.UL_GTP_Data_Volume_RN_MB','sector.Attach_Success_rate_pct_RN','sector.Attach_Success_RN_Num','sector.Attach_Success_RN_Den','sector.Drop_rate_pct_RN','sector.Drop_RN_Num','sector.Drop_RN_Den','sector.DL_Tput_RN_Mbps','sector.UL_Tput_RN_Mbps','sector.UL_TTI_Util_Rate_pct_RN','sector.DL_TTI_Util_Rate_pct_RN','sector.DL_HARQ_Residual_BLER_pct_RN','sector.UL_HARQ_Residual_BLER_pct_RN','sector.Cell_Availability_RN'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001,2025-09-27T11:00:00-04:00,3600,372.82,63,,21,12,12,100,39,39,100,36.67,100,144,144,0.71,1,141,86.19,15.54,2.76,1.23,0.57,0.15,100
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002,2025-09-27T11:00:00-04:00,3600,1.64,12,,4,10,10,100,4,4,100,0.92,100,1,1,0,0,3,9.18,10.46,0.11,0.05,22.14,0.48,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001,2025-09-27T11:00:00-04:00,3600,99.44,31,,14,17,13,76.47,31,31,100,20.46,94.9,93,98,25.93,21,81,41.67,22.8,1.08,0.7,14.89,1.26,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002,2025-09-27T11:00:00-04:00,3600,378.23,13,,7,15,15,100,20,20,100,19.02,95,76,80,17.14,12,70,102.09,14.29,1.6,1.08,1.02,0.1,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001,2025-09-27T11:00:00-04:00,3600,711.16,19,,13,88,88,100,604,604,100,45.22,100,958,958,1.1,11,1000,84.68,19.61,2.81,2.46,1.87,0.08,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002,2025-09-27T11:00:00-04:00,3600,1115.3,13,,10,135,134,99.26,352,352,100,29.35,99.82,562,563,0.98,5,512,203.88,19.36,1.73,1.58,2.57,0.11,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001,2025-09-27T11:00:00-04:00,3600,229.62,1,,3,17,17,100,7,7,100,25.07,98.59,70,71,0,0,76,95.99,4.85,1.23,0.56,0.23,0.08,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002,2025-09-27T11:00:00-04:00,3600,372.47,4,,4,23,23,100,8,8,100,15.34,100,68,68,1.64,1,61,174.81,4.23,0.86,0.5,1.04,0.06,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001,2025-09-27T11:00:00-04:00,3600,623.95,21,,9,32,32,100,250,250,100,341.23,100,682,682,0.89,6,674,87.39,20.56,3.9,1.68,3.37,0.04,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002,2025-09-27T11:00:00-04:00,3600,188.68,37,,15,32,32,100,663,663,100,37.92,99.84,1243,1245,0.32,4,1232,43.38,3.69,2.45,1.02,4.54,0.05,100
Global,*,VCP Far Edge,NR,,*,000000*000*-*,,3600,4093.32,214,,21,381,376,98.69,1978,1978,100,571.2,99.67,3897,3910,1.58,61,3850,101.02,12.89,1.85,1.09,2.75,0.14,100
