Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'RanMarket.DL_GTP_Data_Volume_RN_MB','RanMarket.ENDC.Sessions.RN','RanMarket.Intra.CU.HO.Attempts.number','RanMarket.Max.ENDC.Sessions.RN.number','RanMarket.Intra_CU_HO_Attempts_RN','RanMarket.Intra_CU_HO_Success_RN','RanMarket.Intra_CU_HO_Success_Rate_RN_pct','RanMarket.SgNB_Modification_Attempts_RN','RanMarket.SgNB_Modification_Success_RN','RanMarket.SgNB_Modification_Success_Rate_RN_pct','RanMarket.UL_GTP_Data_Volume_RN_MB','RanMarket.Attach_Success_rate_pct_RN','RanMarket.Attach_Success_RN_Num','RanMarket.Attach_Success_RN_Den','RanMarket.Drop_rate_pct_RN','RanMarket.Drop_RN_Num','RanMarket.Drop_RN_Den','RanMarket.DL_Tput_RN_Mbps','RanMarket.UL_Tput_RN_Mbps','RanMarket.UL_TTI_Util_Rate_pct_RN','RanMarket.DL_TTI_Util_Rate_pct_RN','RanMarket.DL_HARQ_Residual_BLER_pct_RN','RanMarket.UL_HARQ_Residual_BLER_pct_RN','RanMarket.Cell_Availability_RN'
Global,Florida,VCP Far Edge,NR,,,143,2025-09-27T21:00:00-04:00,3600,516.66,142,30,13,30,27,90,1506,1506,100,65.48,99.93,2708,2710,1.01,27,2686,65.76,9.03,0.42,0.21,9.17,0.2,100
Global,*,VCP Far Edge,NR,,,00*,,3600,516.66,142,30,13,30,27,90,1506,1506,100,65.48,99.93,2708,2710,1.01,27,2686,65.76,9.03,0.42,0.21,9.17,0.2,100
