Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'CorningCarrier.COR_NSA_Cell_Availability','CorningCarrier.COR_NSA_Cell_NumOf_ENDC_sessions','CorningCarrier.COR_NSA_Cell_X2AP_SgNBAddRqst','CorningCarrier.COR_NSA_Cell_DL_Avg_DUu_GTP_TPT','CorningCarrier.COR_NSA_Cell_DL_Avg_S1U_GTP_TPT','CorningCarrier.DL_GTP_Data_Volume_RN_MB'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001-01,2025-09-27T15:00:00-04:00,3600,100,76,233,5469.66,5454.2,586.83
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002-01,2025-09-27T15:00:00-04:00,3600,100,13,17,1641.7,1637.42,176.14
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001-01,2025-09-27T15:00:00-04:00,3600,100,41,85,2228.39,2222.03,239.08
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002-01,2025-09-27T15:00:00-04:00,3600,100,22,186,8771.05,8748.47,941.03
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001-01,2025-09-27T15:00:00-04:00,3600,100,23,1006,1061.35,1057.94,113.87
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002-01,2025-09-27T15:00:00-04:00,3600,100,15,365,8741.36,8719.2,937.85
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001-01,2025-09-27T15:00:00-04:00,3600,100,2,45,122.02,120.22,13.09
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002-01,2025-09-27T15:00:00-04:00,3600,100,4,72,2072.73,2064.5,222.38
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001-01,2025-09-27T15:00:00-04:00,3600,100,23,937,7125.39,7092.46,764.47
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002-01,2025-09-27T15:00:00-04:00,3600,100,31,1189,3935.34,3927.85,422.22
Global,*,VCP Far Edge,NR,,*,000000*000*-*-*,,3600,1000.0,250.0,4135.0,41168.990000000005,41044.29,4416.95
