DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/27/2025,21,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0001,01,138.91,52,0,0,NaN,13,29,29,100,19.21,100,6,6,50,3,6,89.47,18.65,1.2,0.44,0.46,0.24,100,100,52,6,1294.77,1290.7
09/27/2025,21,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0002,01,5.03,8,0,0,NaN,2,0,0,NaN,0.86,NaN,0,0,NaN,0,0,70.93,12.65,0.08,0.02,0,0.27,100,100,8,0,46.9,46.74
09/27/2025,21,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0001,01,164.64,31,0,0,NaN,8,21,21,100,15.79,100,29,29,32.14,9,28,116.9,18.08,1.04,0.41,4.25,0.5,100,100,31,29,1534.52,1530.06
09/27/2025,21,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0002,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/27/2025,21,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0001,01,74.76,19,0,0,NaN,8,809,809,100,9.26,99.9,1002,1003,0.3,3,1002,85.94,18.1,0.62,0.25,1.5,0,100,100,19,1003,696.83,694.71
09/27/2025,21,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0002,01,16.42,1,0,0,NaN,2,32,32,100,2.06,100,48,48,6.25,3,48,80.35,21.26,0.12,0.06,0.98,0.02,100,100,1,48,153.03,152.58
09/27/2025,21,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0001,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/27/2025,21,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0002,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/27/2025,21,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0001,01,61.11,12,1,1,100,6,248,248,100,9.18,100,793,793,0.74,6,812,30.73,4.12,0.53,0.47,29.23,0.03,100,100,12,793,569.61,567.93
09/27/2025,21,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0002,01,55.78,19,29,26,89.66,9,367,367,100,9.12,99.88,830,831,0.38,3,790,32.13,3.75,0.58,0.41,19.4,0.05,100,100,19,831,519.94,518.31
Total,*,*,*,*,*,*,*,*,*,*,516.66,142,30,27,90,13,1506,1506,100,65.48,99.93,2708,2710,1.01,27,2686,65.76,9.03,0.42,0.21,9.17,0.2,100,1000.0,142.0,2710.0,4815.6,4801.030000000001
