Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'CorningCarrier.COR_NSA_Cell_Availability','CorningCarrier.COR_NSA_Cell_NumOf_ENDC_sessions','CorningCarrier.COR_NSA_Cell_X2AP_SgNBAddRqst','CorningCarrier.COR_NSA_Cell_DL_Avg_DUu_GTP_TPT','CorningCarrier.COR_NSA_Cell_DL_Avg_S1U_GTP_TPT','CorningCarrier.DL_GTP_Data_Volume_RN_MB'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001-01,2025-09-27T18:00:00-04:00,3600,100,71,135,2451.69,2444.04,263.04
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002-01,2025-09-27T18:00:00-04:00,3600,100,9,7,1385.59,1381.94,148.66
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001-01,2025-09-27T18:00:00-04:00,3600,100,41,92,1577.54,1572.64,169.25
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002-01,2025-09-27T18:00:00-04:00,3600,100,14,125,2012.86,2006.94,215.96
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001-01,2025-09-27T18:00:00-04:00,3600,100,18,935,665.68,663.59,71.42
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002-01,2025-09-27T18:00:00-04:00,3600,100,5,252,248.53,247.56,26.66
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001-01,2025-09-27T18:00:00-04:00,3600,100,3,31,561.65,560.13,60.26
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002-01,2025-09-27T18:00:00-04:00,3600,100,3,92,12158.73,12127.68,1304.49
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001-01,2025-09-27T18:00:00-04:00,3600,100,15,942,3604.6,3594.6,386.73
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002-01,2025-09-27T18:00:00-04:00,3600,100,28,1122,2619.18,2611.34,281.01
Global,*,VCP Far Edge,NR,,*,000000*000*-*-*,,3600,1000.0,207.0,3733.0,27286.049999999996,27210.459999999995,2927.47
