Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'sector.DL_GTP_Data_Volume_RN_MB','sector.ENDC.Sessions.RN','sector.Intra.CU.HO.Attempts.number','sector.Max.ENDC.Sessions.RN.number','sector.Intra_CU_HO_Attempts_RN','sector.Intra_CU_HO_Success_RN','sector.Intra_CU_HO_Success_Rate_RN_pct','sector.SgNB_Modification_Attempts_RN','sector.SgNB_Modification_Success_RN','sector.SgNB_Modification_Success_Rate_RN_pct','sector.UL_GTP_Data_Volume_RN_MB','sector.Attach_Success_rate_pct_RN','sector.Attach_Success_RN_Num','sector.Attach_Success_RN_Den','sector.Drop_rate_pct_RN','sector.Drop_RN_Num','sector.Drop_RN_Den','sector.DL_Tput_RN_Mbps','sector.UL_Tput_RN_Mbps','sector.UL_TTI_Util_Rate_pct_RN','sector.DL_TTI_Util_Rate_pct_RN','sector.DL_HARQ_Residual_BLER_pct_RN','sector.UL_HARQ_Residual_BLER_pct_RN','sector.Cell_Availability_RN'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001,2025-09-27T03:00:00-04:00,3600,401.26,51,,14,0,0,NaN,182,182,100,33.19,100,41,41,9.76,4,41,142.72,20.59,1.88,0.81,0.59,0.2,100
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002,2025-09-27T03:00:00-04:00,3600,7.25,12,,3,0,0,NaN,12,12,100,1.85,100,2,2,0,0,2,54.56,15.27,0.15,0.04,0.02,0.21,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001,2025-09-27T03:00:00-04:00,3600,32.37,21,,6,0,0,NaN,33,33,100,5.74,100,40,40,0,0,39,48.49,18.19,0.38,0.2,9.99,0.39,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002,2025-09-27T03:00:00-04:00,3600,4.53,0,,1,0,0,NaN,8,8,100,1.35,100,3,3,0,0,3,65.24,24.64,0.07,0.02,0,0,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001,2025-09-27T03:00:00-04:00,3600,40.49,4,,3,0,0,NaN,255,255,100,6.23,100,264,264,0.38,1,263,75.95,21.07,0.36,0.16,0.39,0.01,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002,2025-09-27T03:00:00-04:00,3600,10.79,1,,1,0,0,NaN,10,10,100,2.56,100,5,5,0,0,5,66.28,21.8,0.14,0.05,0.46,0.01,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001,2025-09-27T03:00:00-04:00,3600,0,0,,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002,2025-09-27T03:00:00-04:00,3600,0,0,,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001,2025-09-27T03:00:00-04:00,3600,63.8,13,,6,0,0,NaN,289,289,100,11.57,99.81,532,533,0.76,4,529,52.64,4.28,0.64,0.28,7.33,0.05,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002,2025-09-27T03:00:00-04:00,3600,267.2,23,,9,0,0,NaN,491,491,100,22.82,100,819,819,0.49,4,813,93.33,4.27,1.27,0.67,7.56,0.2,100
Global,*,VCP Far Edge,NR,,*,000000*000*-*,,3600,827.69,125,,14,0,0,NaN,1280,1280,100,85.3,99.94,1706,1707,0.77,13,1695,97.69,8.05,0.49,0.22,4.02,0.17,100
