Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'sector.DL_GTP_Data_Volume_RN_MB','sector.ENDC.Sessions.RN','sector.Intra.CU.HO.Attempts.number','sector.Max.ENDC.Sessions.RN.number','sector.Intra_CU_HO_Attempts_RN','sector.Intra_CU_HO_Success_RN','sector.Intra_CU_HO_Success_Rate_RN_pct','sector.SgNB_Modification_Attempts_RN','sector.SgNB_Modification_Success_RN','sector.SgNB_Modification_Success_Rate_RN_pct','sector.UL_GTP_Data_Volume_RN_MB','sector.Attach_Success_rate_pct_RN','sector.Attach_Success_RN_Num','sector.Attach_Success_RN_Den','sector.Drop_rate_pct_RN','sector.Drop_RN_Num','sector.Drop_RN_Den','sector.DL_Tput_RN_Mbps','sector.UL_Tput_RN_Mbps','sector.UL_TTI_Util_Rate_pct_RN','sector.DL_TTI_Util_Rate_pct_RN','sector.DL_HARQ_Residual_BLER_pct_RN','sector.UL_HARQ_Residual_BLER_pct_RN','sector.Cell_Availability_RN'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001,2025-09-27T13:00:00-04:00,3600,458.38,77,,25,22,21,95.45,50,50,100,64.81,100,181,181,3.68,7,190,7.26,6.67,11.62,18.53,0.64,0.06,100
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002,2025-09-27T13:00:00-04:00,3600,32.78,11,,6,30,30,100,8,8,100,5.24,100,20,20,0,0,11,72.47,20.04,0.31,0.13,3.51,0.13,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001,2025-09-27T13:00:00-04:00,3600,207.37,50,,18,111,103,92.79,24,24,100,31.92,100,159,159,16.79,23,137,18.26,21,1.82,3.31,6.35,0.61,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002,2025-09-27T13:00:00-04:00,3600,165.89,19,,10,107,104,97.2,18,18,100,36.98,100,134,134,16.54,21,127,50.96,22.29,1.99,0.95,3.4,0.2,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001,2025-09-27T13:00:00-04:00,3600,170.29,18,,9,61,60,98.36,705,705,100,27.63,99.89,941,942,0.97,9,930,23.21,24.15,1.35,2.18,1.53,0.05,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002,2025-09-27T13:00:00-04:00,3600,402.99,20,,9,49,49,100,284,284,100,90.39,100,425,425,0.69,3,436,72.48,43.68,2.38,1.7,2.59,0.08,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001,2025-09-27T13:00:00-04:00,3600,41.45,2,,3,1,1,100,14,14,100,6.8,95,19,20,0,0,19,68.66,5.77,0.28,0.14,0.47,0.05,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002,2025-09-27T13:00:00-04:00,3600,4.93,4,,3,1,1,100,32,32,100,1.26,100,56,56,1.79,1,56,27.61,2.65,0.12,0.04,5,0.52,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001,2025-09-27T13:00:00-04:00,3600,661.37,30,,13,27,27,100,256,256,100,60.57,99.89,875,876,0.35,3,859,21.19,4.52,3.19,7.3,1.01,0.12,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002,2025-09-27T13:00:00-04:00,3600,2899.85,33,,14,20,19,95,691,691,100,47.11,100,1265,1265,0.39,5,1267,66.94,1.82,6.27,10.13,0.55,0.1,100
Global,*,VCP Far Edge,NR,,*,000000*000*-*,,3600,5045.27,264,,25,429,415,96.74,2082,2082,100,372.7,99.93,4075,4078,1.79,72,4032,30.34,6.42,2.93,4.44,1.22,0.12,100
