Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'CorningCarrier.COR_NSA_Cell_Availability','CorningCarrier.COR_NSA_Cell_NumOf_ENDC_sessions','CorningCarrier.COR_NSA_Cell_X2AP_SgNBAddRqst','CorningCarrier.COR_NSA_Cell_DL_Avg_DUu_GTP_TPT','CorningCarrier.COR_NSA_Cell_DL_Avg_S1U_GTP_TPT','CorningCarrier.DL_GTP_Data_Volume_RN_MB'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001-01,2025-09-27T10:00:00-04:00,3600,100,65,133,7441.15,7421.14,798.35
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002-01,2025-09-27T10:00:00-04:00,3600,100,12,4,66.1,65.82,7.09
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001-01,2025-09-27T10:00:00-04:00,3600,100,30,65,597.42,595.54,64.1
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002-01,2025-09-27T10:00:00-04:00,3600,100,6,44,1192.29,1189.42,127.92
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001-01,2025-09-27T10:00:00-04:00,3600,100,17,841,3457.77,3448.22,370.98
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002-01,2025-09-27T10:00:00-04:00,3600,100,15,504,2966.45,2958.06,318.27
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001-01,2025-09-27T10:00:00-04:00,3600,100,3,73,651.19,649.2,69.86
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002-01,2025-09-27T10:00:00-04:00,3600,100,9,164,2021.28,2013.81,216.86
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001-01,2025-09-27T10:00:00-04:00,3600,100,20,773,6660.07,6642.38,714.55
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002-01,2025-09-27T10:00:00-04:00,3600,100,31,1182,1576.06,1571.1,169.09
Global,*,VCP Far Edge,NR,,*,000000*000*-*-*,,3600,1000.0,208.0,3783.0,26629.780000000002,26554.69,2857.06
