DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/27/2025,20,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0001,01,168.27,54,1,1,100,20,24,24,100,25.78,100,5,5,50,2,4,88.92,20.18,1.52,0.54,0.4,0.22,100,100,54,5,1568.41,1563.48
09/27/2025,20,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0002,01,5406.77,8,0,0,NaN,3,0,0,NaN,8.86,100,7,7,0,0,8,490.24,4.65,2.9,4.19,0.34,0.02,100,100,8,7,50394.74,50269.13
09/27/2025,20,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0001,01,83.79,32,3,2,66.67,9,10,10,100,12.27,93.55,29,31,36.36,8,22,72.52,16.4,0.9,0.34,5.85,0.98,100,100,32,31,781,778.61
09/27/2025,20,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0002,01,33.68,0,3,3,100,3,2,2,100,0.78,100,2,2,0,0,1,197.46,11.94,0.08,0.06,1.15,0.02,100,100,0,2,313.9,313.08
09/27/2025,20,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0001,01,52.34,18,0,0,NaN,8,776,776,100,7.53,99.89,949,950,0.74,7,949,79.19,18.69,0.47,0.19,1.48,0.04,100,100,18,950,487.8,486.35
09/27/2025,20,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0002,01,9.87,2,0,0,NaN,1,76,76,100,1.58,100,100,100,1,1,100,67.4,20.86,0.09,0.04,0.63,0.15,100,100,2,100,91.99,91.72
09/27/2025,20,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0001,01,0.27,0,1,1,100,1,0,0,NaN,0.1,100,5,5,0,0,7,19.64,2.48,0.01,0,0,0,100,100,0,5,2.5,2.49
09/27/2025,20,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0002,01,96.12,1,3,3,100,2,6,6,100,12.89,100,24,24,0,0,22,81.47,5.44,0.56,0.28,0.15,0.07,100,100,1,24,895.87,893.39
09/27/2025,20,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0001,01,84.14,15,7,7,100,7,239,239,100,10.3,100,684,684,0.29,2,692,47.57,4.18,0.58,0.41,20.38,0.38,100,100,15,684,784.25,782.13
09/27/2025,20,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0002,01,69.57,18,21,18,85.71,10,391,391,100,9.71,100,891,891,0.7,6,856,32.95,3.56,0.65,0.49,21.58,0.07,100,100,18,891,648.48,646.44
Total,*,*,*,*,*,*,*,*,*,*,6004.81,148,39,35,89.74,20,1524,1524,100,89.81,99.89,2696,2699,0.98,26,2661,325.96,7.31,0.78,0.65,2.59,0.2,100,1000.0,148.0,2699.0,55968.94000000001,55826.82
