Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'CorningCarrier.COR_NSA_Cell_Availability','CorningCarrier.COR_NSA_Cell_NumOf_ENDC_sessions','CorningCarrier.COR_NSA_Cell_X2AP_SgNBAddRqst','CorningCarrier.COR_NSA_Cell_DL_Avg_DUu_GTP_TPT','CorningCarrier.COR_NSA_Cell_DL_Avg_S1U_GTP_TPT','CorningCarrier.DL_GTP_Data_Volume_RN_MB'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001-01,2025-09-27T19:00:00-04:00,3600,100,75,144,2121.69,2114.65,227.63
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002-01,2025-09-27T19:00:00-04:00,3600,100,11,4,27270.29,27201.84,2925.79
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001-01,2025-09-27T19:00:00-04:00,3600,100,35,93,1051.58,1048.47,112.82
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002-01,2025-09-27T19:00:00-04:00,3600,100,17,78,1453.57,1448.71,155.95
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001-01,2025-09-27T19:00:00-04:00,3600,100,13,945,545.1,543.45,58.48
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002-01,2025-09-27T19:00:00-04:00,3600,100,4,310,58.73,58.51,6.3
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001-01,2025-09-27T19:00:00-04:00,3600,100,2,29,402.39,401.17,43.17
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002-01,2025-09-27T19:00:00-04:00,3600,100,1,31,1927.8,1921.95,206.83
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001-01,2025-09-27T19:00:00-04:00,3600,100,14,765,13296.84,13263.52,1426.6
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002-01,2025-09-27T19:00:00-04:00,3600,100,29,1121,12700.6,12668.28,1362.63
Global,*,VCP Far Edge,NR,,*,000000*000*-*-*,,3600,1000.0,201.0,3520.0,60828.590000000004,60670.55,6526.2
