Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'ACPF.CpuUsageAvg.percent','ACPF.CpuUsageMax.percent','ACPF.CpuUsageMin.percent','ACPF.DiskUsageAvg.percent','ACPF.DiskUsageMax.percent','ACPF.DiskUsageMin.percent','ACPF.MemUsageAvg.percent','ACPF.MemUsageMax.percent','ACPF.MemUsageMin.percent','ACPF.MemUsageTot.number','ACPF.DiskUsageTot.number','ACPF.CpuUsageTot.number','ACPF.DiskUsageCnt.number','ACPF.InThruPeak_VM.number','ACPF.OutThruPeak_VM.number'
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-00,2025-09-27T11:00:00-04:00,3600,7.27,8.28,6.62,2.46,2.47,2.46,41.14,41.16,41.12,14811.24,887.1,2616.86,,1.95,2.92
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T11:00:00-04:00,3600,3.67,9.19,2.44,0.66,0.66,0.66,7.53,7.55,7.52,2711.89,237.73,1322.84,,17.62,23.34
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T11:00:00-04:00,3600,1.22,1.81,1.04,12.87,12.88,12.87,85.2,85.21,85.18,30670.83,4634.52,438.82,,20.79,64.05
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-01,2025-09-27T11:00:00-04:00,3600,7.39,8.12,6.95,2.47,2.47,2.46,41.58,41.61,41.55,14968.23,888.87,2660.42,,2.81,3.66
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T11:00:00-04:00,3600,4.47,11.76,3.16,0.72,0.72,0.72,8.44,8.46,8.43,3038.14,258.4,1610.89,,29.76,34.88
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T11:00:00-04:00,3600,1.58,2.27,1.23,12.87,12.88,12.87,85.45,85.47,85.44,30762.26,4633.24,567.48,,33.12,70.64
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-00,2025-09-27T11:00:00-04:00,3600,6.17,6.5,5.93,2.33,2.33,2.32,40.53,40.56,40.51,14592.3,838.15,2221.32,,0.74,0.36
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-00,2025-09-27T11:00:00-04:00,3600,1.17,3.17,0.97,0.46,0.46,0.46,6.45,6.49,6.43,2320.38,165.8,421.66,,1.55,1.62
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T11:00:00-04:00,3600,0.77,1.15,0.57,12.81,12.82,12.81,84.1,84.12,84.08,30276.52,4612.59,277.34,,0.41,0.39
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-00,2025-09-27T11:00:00-04:00,3600,21.83,42.67,2.99,2.45,2.47,2.43,37.76,38.6,36.91,27186.94,1764.3,15718.35,,201.5,167.07
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T11:00:00-04:00,3600,8.17,23.26,1.12,1.64,2.02,1.29,17.58,23.66,11.72,12654.9,1180.85,5882.88,,439.58,505
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T11:00:00-04:00,3600,12.83,27.16,0.5,9.92,9.94,9.9,78.25,79.92,76.57,56336.42,7142.07,9239.17,,112.85,6860.11
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-02,2025-09-27T11:00:00-04:00,3600,25.27,27.26,23.36,9.93,9.94,9.92,79.85,79.88,79.84,28747.12,3574.22,9095.75,,111.46,7056.45
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-03,2025-09-27T11:00:00-04:00,3600,0.64,1.09,0.52,9.86,9.86,9.85,76.54,76.59,76.52,27555.59,3548.45,228.81,,0.45,0.43
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-00,2025-09-27T11:00:00-04:00,3600,16.95,18.56,15.75,2.47,2.47,2.46,38.8,38.83,38.78,13969.23,888.46,6101.4,,67.03,58.72
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-01,2025-09-27T11:00:00-04:00,3600,3.85,4.5,3.21,2.43,2.44,2.43,36.89,36.91,36.87,13280.08,875.44,1386.53,,0.81,0.73
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T11:00:00-04:00,3600,6.04,20.43,1.07,1.56,1.81,1.31,15.39,19.33,11.58,11078.63,1119.3,4348.31,,187.33,217.88
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T11:00:00-04:00,3600,11.64,12.75,10.47,9.92,9.93,9.92,79.77,79.79,79.76,28717.8,3572.52,4189.65,,52.86,2637.25
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-01,2025-09-27T11:00:00-04:00,3600,0.64,1.05,0.53,9.9,9.91,9.9,76.56,76.63,76.55,27563.52,3565.69,230.06,,0.49,0.53
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-02,2025-09-27T11:00:00-04:00,3600,11.43,13.07,10.4,9.92,9.93,9.92,79.72,79.74,79.7,28699.69,3572.86,4115.68,,52.25,4349.48
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-03,2025-09-27T11:00:00-04:00,3600,0.6,0.78,0.48,9.91,9.92,9.91,76.66,76.67,76.65,27597.45,3568.67,217.14,,0.26,0.78
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-00,2025-09-27T11:00:00-04:00,3600,3.48,3.98,3,2.44,2.45,2.42,37.16,37.43,36.9,26755.29,1756.49,2506.58,,1.66,1.41
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-00,2025-09-27T11:00:00-04:00,3600,1.31,3.14,1.06,1.28,1.28,1.28,11.55,11.59,11.54,4158.9,461.28,471.79,,3.84,2.52
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T11:00:00-04:00,3600,2.08,6.84,1.15,1.29,1.29,1.29,12.29,12.33,12.28,4425.64,463.08,749.75,,3.8,5.3
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T11:00:00-04:00,3600,0.75,1.25,0.59,9.91,9.93,9.91,77.42,78.19,76.66,55744.96,7140.41,540.67,,2.97,13.93
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-02,2025-09-27T11:00:00-04:00,3600,0.8,1.3,0.55,9.87,9.87,9.85,77.41,78.24,76.58,55734.87,7100.55,574.98,,2.69,13.1
