DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/27/2025,16,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0001,01,904.07,74,38,38,100,24,44,44,100,82.41,100,174,174,2.89,5,173,15.99,12.38,7.81,16.03,0.96,0.1,100,100,74,174,8426.57,8402.99
09/27/2025,16,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0002,01,35.59,13,38,38,100,6,3,3,100,5.96,100,24,24,4.17,1,24,39.13,18.36,0.29,0.16,4.74,0.42,100,100,13,24,331.72,330.66
09/27/2025,16,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0001,01,109.91,41,32,31,96.88,13,12,12,100,21.3,100,105,105,16.67,16,96,47.43,15.77,1.62,0.68,7.96,0.75,100,100,41,105,1024.43,1021.04
09/27/2025,16,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0002,01,61.99,17,33,33,100,9,16,16,100,18.53,99.36,156,157,17.76,27,152,4.24,16.53,1.32,4.23,0.68,0.05,100,100,17,157,577.81,575.92
09/27/2025,16,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0001,01,135.48,15,26,26,100,9,725,725,100,13.08,100,935,935,0.97,9,925,78.53,18.92,0.93,0.52,6.24,0.07,100,100,15,935,1262.79,1259.19
09/27/2025,16,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0002,01,1626.86,3,16,16,100,8,245,245,100,12.9,100,377,377,1.29,5,387,198.76,13.16,1.15,2.39,3.7,0.03,100,100,3,377,15163.45,15125.58
09/27/2025,16,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0001,01,699.72,0,16,16,100,3,11,11,100,27.94,93.75,30,32,3.57,1,28,120.76,4.69,1.42,1.36,0.46,0.17,100,100,0,32,6521.87,6505.13
09/27/2025,16,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0002,01,2737.3,9,14,14,100,5,35,35,100,100.41,100,160,160,2.5,4,160,133.23,6.25,3.8,4.8,1.06,0.09,100,100,9,160,25513.48,25448.69
09/27/2025,16,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0001,01,442.65,21,55,55,100,10,269,269,100,48.19,100,888,888,0.8,7,876,77.67,5.06,2.26,1.33,6.69,0.12,100,100,21,888,4125.8,4115.47
09/27/2025,16,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0002,01,533.8,34,55,54,98.18,16,636,636,100,72.22,100,1231,1231,0.08,1,1216,90.36,5.23,3.28,1.38,1.95,0.04,100,100,34,1231,4975.39,4961.07
Total,*,*,*,*,*,*,*,*,*,*,7287.38,227,323,321,99.38,24,1996,1996,100,402.94,99.93,4080,4083,1.88,76,4037,60.34,7.13,2.39,3.29,1.56,0.13,100,1000.0,227.0,4083.0,67923.31,67745.73999999999
