Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'CorningCarrier.COR_NSA_Cell_Availability','CorningCarrier.COR_NSA_Cell_NumOf_ENDC_sessions','CorningCarrier.COR_NSA_Cell_X2AP_SgNBAddRqst','CorningCarrier.COR_NSA_Cell_DL_Avg_DUu_GTP_TPT','CorningCarrier.COR_NSA_Cell_DL_Avg_S1U_GTP_TPT','CorningCarrier.DL_GTP_Data_Volume_RN_MB'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001-01,2025-09-27T13:00:00-04:00,3600,100,77,181,4272.38,4259.68,458.38
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002-01,2025-09-27T13:00:00-04:00,3600,100,11,20,305.49,304.54,32.78
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001-01,2025-09-27T13:00:00-04:00,3600,100,50,159,1932.79,1926.89,207.37
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002-01,2025-09-27T13:00:00-04:00,3600,100,19,134,1546.17,1540.96,165.89
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001-01,2025-09-27T13:00:00-04:00,3600,100,18,942,1587.21,1582.67,170.29
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002-01,2025-09-27T13:00:00-04:00,3600,100,20,425,3756.11,3744.95,402.99
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001-01,2025-09-27T13:00:00-04:00,3600,100,2,20,386.32,385.14,41.45
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002-01,2025-09-27T13:00:00-04:00,3600,100,4,56,45.93,45.76,4.93
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001-01,2025-09-27T13:00:00-04:00,3600,100,30,876,6164.37,6147.72,661.37
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002-01,2025-09-27T13:00:00-04:00,3600,100,33,1265,27028.54,26962.24,2899.85
Global,*,VCP Far Edge,NR,,*,000000*000*-*-*,,3600,1000.0,264.0,4078.0,47025.31,46900.55,5045.27
