Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'CorningCarrier.COR_NSA_Cell_Availability','CorningCarrier.COR_NSA_Cell_NumOf_ENDC_sessions','CorningCarrier.COR_NSA_Cell_X2AP_SgNBAddRqst','CorningCarrier.COR_NSA_Cell_DL_Avg_DUu_GTP_TPT','CorningCarrier.COR_NSA_Cell_DL_Avg_S1U_GTP_TPT','CorningCarrier.DL_GTP_Data_Volume_RN_MB'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001-01,2025-09-27T09:00:00-04:00,3600,100,58,105,1444.3,1439.76,154.96
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002-01,2025-09-27T09:00:00-04:00,3600,100,12,0,50.18,50.01,5.38
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001-01,2025-09-27T09:00:00-04:00,3600,100,18,49,3299.75,3290.98,354.02
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002-01,2025-09-27T09:00:00-04:00,3600,100,4,27,391.54,390.51,42.01
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001-01,2025-09-27T09:00:00-04:00,3600,100,11,684,1139.69,1136.22,122.28
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002-01,2025-09-27T09:00:00-04:00,3600,100,8,499,461.14,459.53,49.47
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001-01,2025-09-27T09:00:00-04:00,3600,100,1,2,0.01,0.01,0
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002-01,2025-09-27T09:00:00-04:00,3600,100,0,15,4.62,4.6,0.5
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001-01,2025-09-27T09:00:00-04:00,3600,100,12,691,3439.1,3430,368.97
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002-01,2025-09-27T09:00:00-04:00,3600,100,26,1176,1073.48,1070.07,115.17
Global,*,VCP Far Edge,NR,,*,000000*000*-*-*,,3600,1000.0,150.0,3248.0,11303.81,11271.69,1212.77
