DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/27/2025,08,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,175.92,68,0,0,NaN,18,22,22,100,29.36,100,96,96,0,0,96,83.94,20.88,0.86,0.31,0.28,0.24,100,100,68,96,1639.71,1634.5
09/27/2025,08,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,62.61,29,0,0,NaN,8,8,8,100,10.48,100,136,136,9.09,12,132,47.87,17.77,0.35,0.19,8.38,0.12,100,100,29,136,583.61,581.85
09/27/2025,08,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,165.77,9,5,5,100,7,575,575,100,20.03,100,588,588,0.34,2,587,53.42,18.02,0.67,0.45,1.41,0.15,100,100,9,588,1545.12,1540.54
09/27/2025,08,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/27/2025,08,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,179.46,38,3,3,100,13,877,877,100,30.09,100,1754,1754,0.58,10,1738,48.19,4.17,0.86,0.44,9.89,0.5,100,100,38,1754,1672.73,1667.61
Total,*,*,*,*,*,*,*,*,583.77,144,8,8,100,18,1482,1482,100,89.96,100,2574,2574,0.94,24,2553,57.2,8.77,0.55,0.28,4.37,0.29,100,500.0,144.0,2574.0,5441.17,5424.5
