Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'Ericsson5GCarrier.pmEndcSetupUeAtt','Ericsson5GCarrier.EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps','Ericsson5GCarrier.EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB','Ericsson5GCarrier.EBSN_ENDC_Peak_UE_FWA_Spid125','Ericsson5GCarrier.EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_pct_of_Total','Ericsson5GCarrier.5GNR_ENDC_Drop_pct','Ericsson5GCarrier.5GNR_ENDC_Drop_Num','Ericsson5GCarrier.5GNR_ENDC_Drop_Den','Ericsson5GCarrier.5GNR_Cell_Availability_pct','Ericsson5GCarrier.5GNR_RACH_Msg3_Failure_pct','Ericsson5GCarrier.5GNR_RACH_Msg3_Failure_pct_Num','Ericsson5GCarrier.5GNR_RACH_Msg3_Failure_pct_Den','Ericsson5GCarrier.5GNR_DL_MAC_Volume_MB'
143,Florida,VCP Far Edge,NR,,,1437177_0001_0003_10,2025-09-27T12:00:00-04:00,3600,193,NaN,0,0,0,1.06,2,189,100,23.98,206,859,5853.25
143,Florida,VCP Far Edge,NR,,,1437177_0001_0003_11,2025-09-27T12:00:00-04:00,3600,54,NaN,0,0,0,0,0,43,100,40,70,175,1434.72
143,Florida,VCP Far Edge,NR,,,1437177_0001_0004_10,2025-09-27T12:00:00-04:00,3600,102,39.62,0.44,1,0.07,4.49,4,89,100,28.18,166,589,572.46
143,Florida,VCP Far Edge,NR,,,1437177_0001_0004_11,2025-09-27T12:00:00-04:00,3600,2,NaN,0,0,0,0,0,4,100,69.05,29,42,74.66
143,Florida,VCP Far Edge,NR,,,1437177_0001_0005_10,2025-09-27T12:00:00-04:00,3600,11,NaN,0,0,0,25,2,8,100,54.69,70,128,18.38
143,Florida,VCP Far Edge,NR,,,1437177_0001_0005_11,2025-09-27T12:00:00-04:00,3600,0,NaN,0,0,0,NaN,0,0,100,89.29,25,28,0.11
143,Florida,VCP Far Edge,NR,,,1437177_0001_0006_10,2025-09-27T12:00:00-04:00,3600,27,NaN,0,0,0,14.29,3,21,100,39.26,137,349,163.17
143,Florida,VCP Far Edge,NR,,,1437177_0001_0006_11,2025-09-27T12:00:00-04:00,3600,3,NaN,0,0,0,0,0,1,100,68.92,51,74,11.57
143,Florida,VCP Far Edge,NR,,,1437178_0001_0001_10,2025-09-27T12:00:00-04:00,3600,92,NaN,0,0,0,2.25,2,89,100,92.45,4815,5208,648.9
143,Florida,VCP Far Edge,NR,,,1437178_0001_0001_11,2025-09-27T12:00:00-04:00,3600,7,NaN,0,0,0,0,0,8,100,95.4,519,544,176.39
143,Florida,VCP Far Edge,NR,,,1437178_0001_0002_10,2025-09-27T12:00:00-04:00,3600,367,87.39,129.78,2,2.14,0.78,3,384,100,29.14,477,1637,5686.94
143,Florida,VCP Far Edge,NR,,,1437178_0001_0002_11,2025-09-27T12:00:00-04:00,3600,178,NaN,0,0,0,1.69,3,177,100,41.65,232,557,1475.45
