Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'CorningCarrier.COR_NSA_Cell_Availability','CorningCarrier.COR_NSA_Cell_NumOf_ENDC_sessions','CorningCarrier.COR_NSA_Cell_X2AP_SgNBAddRqst','CorningCarrier.COR_NSA_Cell_DL_Avg_DUu_GTP_TPT','CorningCarrier.COR_NSA_Cell_DL_Avg_S1U_GTP_TPT','CorningCarrier.DL_GTP_Data_Volume_RN_MB'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001-01,2025-09-27T16:00:00-04:00,3600,100,74,174,8426.57,8402.99,904.07
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002-01,2025-09-27T16:00:00-04:00,3600,100,13,24,331.72,330.66,35.59
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001-01,2025-09-27T16:00:00-04:00,3600,100,41,105,1024.43,1021.04,109.91
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002-01,2025-09-27T16:00:00-04:00,3600,100,17,157,577.81,575.92,61.99
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001-01,2025-09-27T16:00:00-04:00,3600,100,15,935,1262.79,1259.19,135.48
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002-01,2025-09-27T16:00:00-04:00,3600,100,3,377,15163.45,15125.58,1626.86
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001-01,2025-09-27T16:00:00-04:00,3600,100,0,32,6521.87,6505.13,699.72
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002-01,2025-09-27T16:00:00-04:00,3600,100,9,160,25513.48,25448.69,2737.3
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001-01,2025-09-27T16:00:00-04:00,3600,100,21,888,4125.8,4115.47,442.65
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002-01,2025-09-27T16:00:00-04:00,3600,100,34,1231,4975.39,4961.07,533.8
Global,*,VCP Far Edge,NR,,*,000000*000*-*-*,,3600,1000.0,227.0,4083.0,67923.31,67745.73999999999,7287.38
