Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'sector.DL_GTP_Data_Volume_RN_MB','sector.ENDC.Sessions.RN','sector.Intra.CU.HO.Attempts.number','sector.Max.ENDC.Sessions.RN.number','sector.Intra_CU_HO_Attempts_RN','sector.Intra_CU_HO_Success_RN','sector.Intra_CU_HO_Success_Rate_RN_pct','sector.SgNB_Modification_Attempts_RN','sector.SgNB_Modification_Success_RN','sector.SgNB_Modification_Success_Rate_RN_pct','sector.UL_GTP_Data_Volume_RN_MB','sector.Attach_Success_rate_pct_RN','sector.Attach_Success_RN_Num','sector.Attach_Success_RN_Den','sector.Drop_rate_pct_RN','sector.Drop_RN_Num','sector.Drop_RN_Den','sector.DL_Tput_RN_Mbps','sector.UL_Tput_RN_Mbps','sector.UL_TTI_Util_Rate_pct_RN','sector.DL_TTI_Util_Rate_pct_RN','sector.DL_HARQ_Residual_BLER_pct_RN','sector.UL_HARQ_Residual_BLER_pct_RN','sector.Cell_Availability_RN'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001,2025-09-27T15:00:00-04:00,3600,586.83,76,,24,23,23,100,72,72,100,58.88,99.57,232,233,5.6,13,232,117.2,22.79,3.05,1.46,1.76,0.12,100
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002,2025-09-27T15:00:00-04:00,3600,176.14,13,,5,24,24,100,6,6,100,13.45,94.12,16,17,6.67,1,15,131.55,28.08,0.57,0.39,2.92,0.19,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001,2025-09-27T15:00:00-04:00,3600,239.08,41,,13,44,44,100,12,12,100,21.8,100,85,85,13.16,10,76,40.43,17.31,1.53,1.74,8.83,0.25,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002,2025-09-27T15:00:00-04:00,3600,941.03,22,,10,37,36,97.3,19,19,100,24.26,98.92,184,186,13.61,26,191,3.24,9.37,3.3,85.24,0.04,0.06,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001,2025-09-27T15:00:00-04:00,3600,113.87,23,,9,32,32,100,806,806,100,33.6,100,1006,1006,0.8,8,1005,22.13,21.76,1.75,1.46,6.83,0.06,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002,2025-09-27T15:00:00-04:00,3600,937.85,15,,6,32,32,100,241,241,100,11.22,99.45,363,365,0,0,363,371.89,14.24,0.96,0.74,1.41,0.05,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001,2025-09-27T15:00:00-04:00,3600,13.09,2,,2,17,17,100,0,0,NaN,163.36,95.56,43,45,0,0,44,13.71,20.59,1.86,0.23,0.28,0.09,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002,2025-09-27T15:00:00-04:00,3600,222.38,4,,3,18,18,100,14,14,100,239.96,100,72,72,0,0,69,57.61,17.67,3.18,0.9,0.13,0.02,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001,2025-09-27T15:00:00-04:00,3600,764.47,23,,11,95,95,100,293,293,100,1625.75,99.89,936,937,0.21,2,935,42.51,31.75,11.99,4.22,2.76,0.05,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002,2025-09-27T15:00:00-04:00,3600,422.22,31,,19,103,103,100,627,627,100,76.61,99.66,1185,1189,0.52,6,1159,51.55,5.44,3.35,1.92,4.57,0.12,100
Global,*,VCP Far Edge,NR,,*,000000*000*-*,,3600,4416.95,250,,24,425,424,99.76,2090,2090,100,2268.87,99.69,4122,4135,1.61,66,4089,12.9,23.54,3.15,9.83,0.45,0.08,100
