DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/27/2025,07,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0001,136.4,54,0,0,NaN,17,35,35,100,21.31,100,41,41,2.44,1,41,76.87,17.6,1.4,0.5,0.09,0.32,100,100,54,41,1271.31,1267.17
09/27/2025,07,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0002,0.33,12,0,0,NaN,3,0,0,NaN,0.2,NaN,0,0,NaN,0,0,15.08,4.68,0.05,0.01,0.07,0.83,100,100,12,0,3.08,3.05
09/27/2025,07,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0001,9.91,22,0,0,NaN,8,11,11,100,2.33,100,35,35,26.67,8,30,22.33,14.23,0.19,0.13,11.37,0.38,100,100,22,35,92.38,92.05
09/27/2025,07,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0002,8.19,6,0,0,NaN,4,4,4,100,1.55,100,42,42,0,0,42,86.74,22.25,0.08,0.03,0.41,0.03,100,100,6,42,76.29,76.04
09/27/2025,07,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0001,32.5,4,0,0,NaN,3,220,220,100,4.21,100,261,261,1.53,4,261,92.18,20.48,0.25,0.1,2.73,0,100,100,4,261,302.91,302
09/27/2025,07,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0002,4.82,6,0,0,NaN,5,98,98,100,1.68,100,131,131,0,0,131,30.13,20.55,0.1,0.05,8.15,0.04,100,100,6,131,44.91,44.73
09/27/2025,07,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0001,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/27/2025,07,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0002,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/27/2025,07,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0001,46.89,12,2,2,100,6,244,244,100,7.65,99.82,540,541,0.19,1,536,48.93,3.89,0.47,0.22,11.17,0.13,100,100,12,541,437.05,435.72
09/27/2025,07,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0002,82.19,25,0,0,NaN,11,531,531,100,13.65,100,1008,1008,0.6,6,1001,41.54,3.98,0.82,0.46,12.81,0.25,100,100,25,1008,766.08,763.66
Total,*,*,*,*,*,*,*,*,*,321.22,141,2,2,100,17,1143,1143,100,52.58,99.95,2058,2059,0.98,20,2042,55.32,7.28,0.34,0.15,6.33,0.24,100,1000.0,141.0,2059.0,2994.01,2984.42
