DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/27/2025,19,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0001,227.63,75,1,1,100,23,79,79,100,40.49,99.31,143,144,2.08,3,144,43.72,21.1,2.3,1.55,4.9,0.16,100,100,75,144,2121.69,2114.65
09/27/2025,19,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0002,2925.79,11,3,3,100,4,0,0,NaN,6.53,100,4,4,0,0,2,306.15,10.4,0.52,1.23,0.09,0.09,100,100,11,4,27270.29,27201.84
09/27/2025,19,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0001,112.82,35,26,25,96.15,12,10,10,100,19.8,100,93,93,13.1,11,84,50.78,18.71,1.27,0.65,7.69,0.76,100,100,35,93,1051.58,1048.47
09/27/2025,19,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0002,155.95,17,25,25,100,8,14,14,100,44.45,100,78,78,5.26,4,76,6.53,19.6,2.9,6.95,4.25,0.1,100,100,17,78,1453.57,1448.71
09/27/2025,19,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0001,58.48,13,1,1,100,9,777,777,100,7.71,100,945,945,0.32,3,944,70.88,18.34,0.5,0.24,4.51,0.02,100,100,13,945,545.1,543.45
09/27/2025,19,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0002,6.3,4,0,0,NaN,5,217,217,100,1.55,100,310,310,0.32,1,311,28.91,14.73,0.13,0.06,11.3,0.05,100,100,4,310,58.73,58.51
09/27/2025,19,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0001,43.17,2,8,8,100,2,11,11,100,14,100,29,29,3.33,1,30,92.52,11.27,0.29,0.11,0.29,0.06,100,100,2,29,402.39,401.17
09/27/2025,19,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0002,206.83,1,9,9,100,3,14,14,100,428.33,100,31,31,0,0,30,65.8,34.22,2.93,0.73,0.6,0.01,100,100,1,31,1927.8,1921.95
09/27/2025,19,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0001,1426.6,14,19,19,100,8,255,255,100,21.66,100,765,765,1.45,11,759,327.51,4.15,1.25,1.02,6.71,0.1,100,100,14,765,13296.84,13263.52
09/27/2025,19,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0002,1362.63,29,25,24,96,15,600,600,100,24.91,100,1121,1121,0.55,6,1098,241.06,3.37,1.76,1.32,3.94,0.18,100,100,29,1121,12700.6,12668.28
Total,*,*,*,*,*,*,*,*,*,6526.2,201,117,115,98.29,23,1977,1977,100,609.42,99.97,3519,3520,1.15,40,3478,97.52,18.54,1.39,1.39,3.97,0.15,100,1000.0,201.0,3520.0,60828.590000000004,60670.55
