DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
09/27/2025,00,5GNR,Florida,143,Jacksonville,PARK_PLAZA,1439004,0001,0001,0,1,0,3.97,0,0,NaN,66.72,7.35,0,98.82,12.96,0.62,1.28,83.92,3.72,11.55,2.64,12,302,533.76,46.21,1,1,100,88.03,NaN,138.04,0,7.33,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,NaN,NaN,0,0,1,1,NaN,-119.33,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,PARK_PLAZA,1439004,0001,0002,0,2,0,0.55,0,3,0,77.34,195.73,1,99.82,5.82,2.41,2.19,64.23,22.26,7.84,18.06,6,1084,618.76,78.88,2,2,100,70.05,0,102.97,0.74,198.69,NaN,NaN,NaN,0,0,NaN,NaN,47.53,0,0,0,0.74,0.2,9.64,3.32,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,1,0,0,6,NaN,0.33,0.11,9.36,26.12,0,0,1,1.63,NaN,-119.4,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,PARK_PLAZA,1439004,0001,0003,0,47,0,0.15,0,45,0,630.67,32.87,2,99.67,8.33,3.45,6.76,48.63,1.57,20.73,2.12,47,30926,5045.33,243.33,47,47,100,50.19,0,807.77,12.31,33.49,15.11,0,0,0.02,0.15,1.54,1.03,24.31,0,NaN,0,12.29,0.19,6.65,1.13,2,2,2,0,44,0,46,0,0.46,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,-120.06,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,PENMAN_RD_WATER_TANK,1437037,0001,0001,0,549,0,1.02,1,556,0.18,31092.12,1114.56,37,98.04,3.24,45.55,47.51,98.87,6.69,90.89,13.6,9882,968985,248737,2736.8,549,549,100,98.94,0.18,30024.27,24584.9,1108.62,83.66,0.24,0,21796.63,655.03,3.05,9.69,147.36,0,1.44,0,2702.23,108.11,7.49,2.09,28,14,16,1,419,0,411,72.6,59.09,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,-115.13,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,PENMAN_RD_WATER_TANK,1437037,0001,0002,0,857,0,0.75,3,847,0.35,36952.24,2015.43,45,99.08,5.54,50.79,48.18,124.84,8.44,106.52,22.04,20568,2730402,295617.94,2775.26,857,857,100,124.86,0.35,36527.67,25648.37,2018.36,82.66,0.15,0,16657.22,663.15,5.45,6.28,158.79,1.13,0.64,0,8867.07,147.68,11.01,1.14,37,18.5,22,1,670,0,666,45.6,32.86,0,0,3,0,0,5,1,0,0,5,0,0,0,NaN,NaN,0,0,1,215.88,0,-113.89,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,PENMAN_RD_WATER_TANK,1437037,0001,0003,0,93,0,4.34,2,93,2.15,30593.69,1376.79,28,99.38,3.89,38.45,33.65,236.52,10.42,126.26,19.89,8277,190650,244749.5,1938.52,93,93,100,236.81,2.15,28572.3,17046.22,1378.19,266.3,0,0,15281.47,649.33,3.53,8.1,68.03,2.9,1.53,0,1710.66,131.61,17.97,3.33,18,9,10,0,24,0,26,53.48,47.11,0,0,1,0,0,1,1,0,0,1,NaN,6.04,2.6,311.99,23.52,0,0,1,1.48,NaN,-114.6,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,PENMAN_RD_WATER_TANK,1439037,0001,0001,0,210,0,1.73,14,211,6.64,4121.57,502.43,10,99.51,10.42,39.9,51.48,31.32,3.49,17.79,2.8,10920,630000,32972.57,1853.15,210,210,100,31.84,6.64,4719.57,1949.92,499.29,12.77,NaN,NaN,141.56,212.28,2.42,2.92,22.83,6.64,0,0,1800.13,71.01,7.06,2.71,1,1,1,0,0,0,0,3,42.52,0,0,19,0,0,20,1,0,0,20,0,5.54,0.4,126.19,1.82,0,0,1,2.11,0,-120.2,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,PENMAN_RD_WATER_TANK,1439037,0001,0002,0,112,0,0.03,1,115,0.87,1517.64,217.79,5,99.38,14.3,15.2,21.33,43.87,4.75,15.81,3.18,112,358176,12141.1,767.78,112,112,100,45.12,0.87,2209.61,265.31,215.85,NaN,NaN,NaN,0,0,NaN,NaN,22.81,0.87,0,0,264.97,26.77,7.91,2.53,0,0,0,0,0,0,0,0,0,0,0,16,0,0,20,2,0,0,20,0,21.51,0.09,45.02,5.09,0,0,2,1.55,0,-119.41,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,PENMAN_RD_WATER_TANK,1439037,0001,0003,0,28,0,0.44,0,31,0,451.86,97.18,2,99.6,20.26,6.17,6.33,71.15,4.58,15.85,3.5,84,19152,3614.87,228.05,28,28,100,72.8,0,783.5,71.73,97.3,NaN,NaN,NaN,0,0,NaN,NaN,61.7,0,0,0,71.5,7.36,30.5,3.07,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,-119.65,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,PHILIP_SHEFFIELD_1,1437533,0001,0001,0,298,0,1.19,4,275,1.45,12365.96,120.39,16,94.68,8.57,23.71,21.61,82.26,0.62,79.46,2.82,2384,200256,98927.7,1244.95,298,298,100,82.3,1.45,12251.64,12207,120.06,87.61,0,0,11803.29,104.71,7.83,0.7,36.48,6.35,0,0,400.86,11.8,28.78,0.3,12,6,11,0,212,0,239,96.34,87.22,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,-114.62,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,PHILIP_SHEFFIELD_1,1437533,0001,0002,0,172,0,2.45,1,160,0.62,4094.82,170.02,9,99.84,9.78,16.07,5.41,197.38,1.49,105.08,5.88,1376,56072,32758.6,311.76,172,172,100,197.37,0.62,3847.15,3847.15,170,205.55,0.67,0,3460.48,136.86,9.62,2.8,124.88,0,NaN,0,382.67,33.14,11.01,0.66,7,3.5,5,1,149,0,161,89.95,80.51,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,-115.52,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,PHILIP_SHEFFIELD_1,1437533,0001,0003,0,782,0,6.32,14,814,1.72,61781.8,1314.85,41,98.41,6.07,69.11,45.29,101.38,0.71,189.47,10.57,84456,1335656,494254.42,2608.67,782,782,100,101.32,1.72,60790.34,47538.39,1313.52,104.81,0.42,0,44742.84,822.51,5.97,0.51,31.72,11,0,0,2595.02,98.15,22.47,0.69,34,17,27,3,714,0,685,73.6,62.62,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,-111.88,0.04
09/27/2025,00,5GNR,Florida,143,Jacksonville,PHILLIPS_POWERS,1437005,0001,0001,0,384,0,0.38,5,328,1.52,4081.5,225.35,30,98.03,11.83,28.15,11.88,57.2,0.71,47.73,4.45,3072,812544,32651.96,684.13,384,384,100,57.11,1.52,3186.54,2826.34,225.2,70.14,1.52,0,81.38,13.19,9.71,0.59,51.94,1.53,0.63,0,2743.29,162.32,12.55,0.57,8,4,6,1,66,0,76,2.55,5.86,NaN,0,0,0,0,4,1,0,0,4,0,0.01,0,11.02,NaN,NaN,0,1,20.32,NaN,-115.6,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,PHILLIPS_POWERS,1437005,0001,0002,0,149,0,1.52,2,160,1.25,859.34,30.35,9,98.41,9.11,4.38,2.47,56.18,0.95,48.28,3.85,1937,127395,6874.73,142.39,149,149,100,56.25,1.25,659.76,498.25,30.18,10.56,0,0,0.46,0.55,7.74,2.48,44.26,2.53,3,0,497.43,17.41,8.58,0.62,3,1.5,2,0,81,0,81,0.07,1.84,NaN,0,0,NaN,0,0,1,NaN,0,0,0,0.64,0,76.11,NaN,NaN,NaN,1,1.07,NaN,-116.36,0
