DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DUNAME,DU,SECTOR,CARRIER,5GNR_ENDC_Drop%,5GNR_ENDC_Drop_%_num,5GNR_ENDC_Drop_%_den,S5NR_Cell_Availability_%,ErabAddAtt_per_GNB,ErabAddSucc_per_GNB,S5NR_DLMACLayerDataVolume_MB,S5NR_DLPRBUtilization_%,S5NR_DLUserPerceivedTput_Mbps,S5NR_PDCCH_SlotRationBlocking_DL_%,S5NR_PDCCH_SlotRationBlocking_Tot_%,S5NR_PDCCH_SlotRationBlocking_UL_%,S5NR_PUCCH_BLER_%,S5NR_PUCCHAvgSINR_dB,S5NR_PUSCHAvgSINR_dB,S5NR_TotalDLRLCLayerDataVolume_MB,S5NR_TotalERABSetupFailureRate_%,S5NR_TotalULRLCLayerDataVolume_MB,S5NR_ULMACLayerDataVolume_MB,S5NR_ULPRBUtilization_%,S5NR_ULUserPerceivedTput_Mbps,S5NC_DRBDrop_%_SA,S5NC_NRDCAdd_MN_Succ_%_SA,S5NC_NGSetupFailure_%_SA,S5NC_RRCSetupFailure_%_SA,S5NC_EPSFB_IRAT_HO_PrepFailure_%_SA,S5NC_EmergFB_IRAT_HO_Failure_%_SA,S5NC_EPSFB_IRAT_HO_Failure_%_SA,RssiPathAvg_Path0,RssiPathAvg_Path1,RssiPathAvg_Path2,RssiPathAvg_Path3,RssiPathAvg,S5NR_PDCCH_Blocking_Tot_%,S5NC_MaxUENo_SPID125,S5ND_TotalMACDataVolumeDL_MB_SPID125,S5ND_DLUeThru_Mbps_SPID125,S5NC_ERAB_Drop_Rate_FWA_%_num,S5NC_ERAB_Drop_Rate_FWA_%,S5NC_ERABSetupFailureRate%_QCI132,S5NR_TotalERABSetupFailureRate_%_num,S5NR_TotalERABSetupFailureRate_%_den,S5NC_DRBDrop_num_SA,S5NC_DRBDrop_den_SA,S5NC_DRBSetupFail_%_SA,S5NC_DRBSetupFail_num_SA,S5NC_DRBSetupFail_den_SA,S5NR_IntragNBHOFailRate_%,S5NR_IntragNBHOFailRate_den,S5NR_IntragNBHOFailRate_num,S5NR_IntergNBHOFailRate_%,S5NR_IntergNBHOFailRate_den,S5NR_IntergNBHOFailRate_num,S5NR_AvgRRCconnectedUsersPerDU_PerCell,Sum_DLRLCDataVolume_MB
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0096,96,1,NaN,0,0,100,4,4,5090.31,2.22,467.3,0.05,0.05,0,0.02,17.28,20.91,3429.32,0,50.61,270.44,0.47,112.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-110.56,-113.8,-110.8,-112.89,-112.01,0.05,1,5071.71,467.3,0,NaN,NaN,0,4,0,0,NaN,0,0,NaN,0,0,NaN,0,0,1,3434.76
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0096,96,2,0,0,34,100,31,31,1021.55,0.52,62.53,0.01,0.01,0,0.6,17.3,9.91,20.55,0,0.25,1.61,0.02,1.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-117.29,-116.96,-117,-115.53,-116.69,0.01,0,970.97,NaN,0,NaN,NaN,0,31,0,0,NaN,0,0,0,4,0,NaN,0,0,0.4,20.55
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0096,96,3,0,0,8,100,1,1,621.54,0.26,128.03,0,0,0,1.57,16.91,16.55,4.93,0,0.19,0.59,0,14.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.54,-116.86,-116.48,-115.48,-116.34,0,0,613.19,NaN,0,NaN,NaN,0,1,0,0,NaN,0,0,0,7,0,NaN,0,0,0.01,4.93
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0097,97,1,NaN,0,0,100,4,4,4324.98,2.12,757.79,0.02,0.02,0,0.07,17.51,20.83,6445.98,0,206.27,329.09,0.57,75.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-113.14,-115.67,-111.8,-115.56,-114.04,0.02,1,4290.37,757.79,0,NaN,NaN,0,4,0,0,NaN,0,0,NaN,0,0,NaN,0,0,1,6470.55
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0097,97,2,17.65,3,17,100,16,16,1685.66,0.94,56.97,0.04,0.04,0.13,4.84,16.17,14.2,38.76,0,3.02,24.46,0.09,5.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-117.2,-116.84,-116.12,-116.96,-116.78,0.04,0,1637.22,NaN,0,NaN,NaN,0,16,0,0,NaN,0,0,0,2,0,NaN,0,0,0.16,38.76
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0097,97,3,0,0,3,100,4,4,1139.13,0.54,68.45,0.02,0.02,0,2.16,16.52,14.89,2.14,0,0.33,0.75,0,3.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.86,-116.94,-115.91,-116.96,-116.66,0.02,0,1133.86,NaN,0,NaN,NaN,0,4,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.01,2.14
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ARGYLE_PARK-HNRT,0086,86,1,16.67,1,6,100,6,6,17.92,0.03,110.46,0,0,0,0.71,16.86,13.18,10.85,0,0.98,1.81,0.01,4.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.28,-115.23,-114.16,-114.81,-114.87,0,0,0,NaN,0,NaN,NaN,0,6,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.02,11.17
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ARGYLE_PARK-HNRT,0087,87,1,0,0,1,100,1,1,42.08,0.1,1.68,0,0,0,0.3,16.97,10.42,0.03,0,1.7,2.27,0.02,10.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.75,-114.66,-115.92,-115.38,-115.43,0,0,0,NaN,0,NaN,NaN,0,1,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.01,49.65
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ARGYLE_PARK-HNRT,0088,88,1,0,0,13,100,13,13,78.68,0.25,53.33,0.16,0.09,0.01,1.83,16.44,9.75,15.68,0,31.2,38.42,0.48,5.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.81,-114.35,-116.52,-116.64,-116.08,0.09,0,0,NaN,0,NaN,NaN,0,13,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.08,97.05
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ARGYLE_PARK-HNRT,0088,88,2,0,0,2,100,3,3,16.81,0.05,99.71,0.47,0.43,0,9.4,15.36,10.26,2.96,0,0.07,0.13,0,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.8,-115.09,-116.84,-117.05,-116.44,0.43,0,0,NaN,0,NaN,NaN,0,3,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.01,2.96
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0047,47,1,19.15,18,94,100,73,73,159.83,0.58,17.38,0.18,0.14,0.04,12.29,16.27,12.74,47.12,0,22.05,47.82,0.3,8.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.53,-115.37,-114.87,-114.63,-115.1,0.14,0,0,NaN,0,NaN,NaN,0,73,0,0,NaN,0,0,0,29,0,NaN,0,0,0.36,113.88
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0047,47,2,8.06,5,62,100,47,47,89.99,0.27,74.13,0.09,0.07,0.01,11.61,16.11,12.01,71.72,0,17.8,24.1,0.17,8.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.45,-115.91,-116.36,-115.18,-115.72,0.07,0,0,NaN,0,NaN,NaN,0,47,0,0,NaN,0,0,20,10,2,NaN,0,0,0.2,71.72
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0047,47,3,6.67,1,15,100,13,13,16.45,0.07,30.9,0.23,0.19,0,15.64,15.56,9.46,1.73,0,0.59,1.94,0.02,3.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.51,-115.96,-116.19,-115.92,-115.89,0.19,0,0,NaN,0,NaN,NaN,0,13,0,0,NaN,0,0,0,1,0,NaN,0,0,0.03,1.73
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0047,47,4,25,1,4,100,3,3,17.4,0.05,653.33,0.19,0.18,0,6.77,13.73,15.54,6.78,0,0.12,1,0,6.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.49,-115.54,-116.44,-115.87,-115.83,0.18,0,0,NaN,0,NaN,NaN,0,3,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0,6.78
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0047,47,5,0,0,1,100,1,1,10.9,0.04,58.98,0.11,0.11,0,43.43,14.91,8.44,0.01,0,0,0.01,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.17,-115.04,-115.39,-115.31,-115.23,0.11,0,0,NaN,0,NaN,NaN,0,1,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0,0.01
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0048,48,1,15.91,7,44,100,34,34,272.32,0.81,80.56,0.06,0.06,0.06,5,16.62,13.45,268.11,0,5.81,14.79,0.12,2.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.52,-115.49,-115.5,-115.66,-115.79,0.06,0,0,NaN,0,NaN,NaN,0,34,0,0,NaN,0,0,0,10,0,NaN,0,0,0.38,316.91
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0048,48,2,0,0,19,100,18,18,65.78,0.2,95.61,0.2,0.17,0,4.88,16.19,12.46,31.3,0,1,2.59,0.03,1.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.69,-115.94,-115.88,-116.01,-116.13,0.17,0,0,NaN,0,NaN,NaN,0,18,0,0,NaN,0,0,0,3,0,NaN,0,0,0.11,31.3
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0048,48,3,0,0,6,100,6,6,39.93,0.13,6.77,0.1,0.1,0,1.45,17.2,14.99,1.26,0,0.29,0.64,0.01,2.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.07,-115.45,-115.47,-115.37,-115.59,0.1,0,0,NaN,0,NaN,NaN,0,6,0,0,NaN,0,0,0,3,0,NaN,0,0,0.03,1.26
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0048,48,4,0,0,2,100,1,1,39.04,0.12,175.25,0.32,0.29,0,0.8,17.11,15.68,11.54,0,0.82,1.46,0.01,8.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.97,-115.88,-114.89,-116.48,-115.8,0.29,0,0,NaN,0,NaN,NaN,0,1,0,0,NaN,0,0,0,1,0,NaN,0,0,0.02,11.54
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0048,48,5,0,0,1,100,1,1,25.27,0.09,NaN,0.48,0.48,0,21.68,17.76,16.28,0.04,0,0,0.02,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.52,-115.12,-114.29,-116.24,-115.29,0.48,0,0,NaN,0,NaN,NaN,0,1,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.01,0.04
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0049,49,1,8.89,8,90,100,57,57,207.81,0.76,45.47,0.05,0.05,0.02,19.42,16.08,12.81,127.37,0,7.22,17.11,0.2,1.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.25,-114.83,-115.28,-116.28,-115.67,0.05,0,0,NaN,0,NaN,NaN,0,57,0,0,NaN,0,0,3.7,27,1,NaN,0,0,0.36,172.35
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0049,49,2,21.57,11,51,100,37,37,237.87,0.5,55.73,0.02,0.01,0.01,10.82,16.08,12.2,171.74,0,17.35,24.63,0.21,4.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.66,-115.73,-116.63,-116.42,-116.36,0.01,0,0,NaN,0,NaN,NaN,0,37,0,0,NaN,0,0,0,18,0,NaN,0,0,0.23,171.74
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0049,49,3,23.53,4,17,100,13,13,48.78,0.19,34.79,0.13,0.11,0.04,15.55,15.8,12.72,19.5,0,1.04,2.38,0.03,2.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.16,-115.17,-114.42,-116.19,-115.48,0.11,0,0,NaN,0,NaN,NaN,0,13,0,0,NaN,0,0,0,3,0,NaN,0,0,0.05,19.5
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0049,49,4,33.33,1,3,100,3,3,33.2,0.11,19.17,0,0,0,23.25,15.73,9.01,1.98,0,0.1,0.19,0,1.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.31,-115.66,-116.47,-116.85,-116.07,0,0,0,NaN,0,NaN,NaN,0,3,0,0,NaN,0,0,0,1,0,NaN,0,0,0.01,1.98
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY-33-HNRT,0016,16,1,4.55,1,22,100,16,16,98.01,0.28,98.31,0.01,0.01,0,1.23,16.65,13.99,92.78,0,2.28,6.84,0.05,2.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.23,-116.03,-115.8,-115.44,-115.88,0.01,0,0,NaN,0,NaN,NaN,0,16,0,0,NaN,0,0,0,8,0,NaN,0,0,0.08,106.29
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY-33-HNRT,0016,16,2,25,1,4,100,2,2,105.81,0.3,76.62,0,0,0,3.21,15.39,9.6,92.83,0,1.02,1.58,0.02,2.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.59,-116,-116.34,-115.64,-116.14,0,0,0,NaN,0,NaN,NaN,0,2,0,0,NaN,0,0,0,1,0,NaN,0,0,0.02,92.83
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY-33-HNRT,0017,17,1,20.69,6,29,100,21,21,35,0.09,37.55,0,0,0,7.34,16.42,11.2,6.77,0,0.64,1.57,0.04,1.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.1,-113.62,-115.21,-115.72,-115.17,0,0,0,NaN,0,NaN,NaN,0,21,0,0,NaN,0,0,0,7,0,NaN,0,0,0.04,17.3
