DAY,HR,5G,REGION,MARKET,MARKET_DESC,S5NR_TotalERABSetupFailureRate_%,ErabAddAtt_per_GNB,S5NR_DLMACLayerDataVolume_MB,S5NR_ULMACLayerDataVolume_MB,S5NR_TotalDLRLCLayerDataVolume_MB,S5NR_TotalULRLCLayerDataVolume_MB,S5NR_DLUserPerceivedTput_Mbps,S5NR_ULUserPerceivedTput_Mbps,5GNR_ENDC_Drop_%_den,5GNR_ENDC_Drop_%_num,5GNR_ENDC_Drop%,S5NR_RACH_SR%,S5NR_DLPRBUtilization_%,S5NR_ULPRBUtilization_%,S5NR_IntragNBHOFailRate_%,S5NR_IntragNBHOFailRate_den,S5NR_IntragNBHOFailRate_num,S5NR_IntergNBHOFailRate_%,S5NR_IntergNBHOFailRate_den,S5NR_IntergNBHOFailRate_num,S5NR_RACH_CB_SR%,S5NR_RACH_CF_SR%,S5NR_RACH_Att_MSG2_CB,S5NR_RACH_Att_MSG2_CF,S5NR_RACH_Att_MSG3_CB,S5NR_RACH_Att_MSG3_CF,S5NR_RACH_Att_MSG5_CB,S5NR_PUCCH_BLER_%,EndcRelBySgnb_DL_randomAccessProblem,EndcRelBySgnb_DL_rlcMaxNumRetx,EndcRelBySgnb_DL_scgReconfFailure,EndcRelBySgnb_DL_srb3IntegrityFailure,EndcRelBySgnb_DL_t310Expiry,EndcRelBySgnb_UL_outOfSync,EndcRelBySgnb_UL_srb3IntegrityFailure,EndcRelBySgnb_per_GNB,EndcRelByMeNB_radioConnectionWithUeLost,EndcRelByMenb_per_GNB,ENDCRELBYMENB_UECUSTOMSIGNATURE_FAILRADINTERPROC,ENDCRELBYMENB_UEPOWERSAVING,ENDCRELBYSGNB_MRBASEDSUSPENDRESUME,ENDCRELBYSGNB_USERINACTIVITY,EndcRelBySgnb_DL_syncReconfFailure,EndcRelBySgnb_UL_rlcMaxNumRetx,ErabAddSucc_per_GNB,CellAvailPmPeriodTime,CellAvailability,CellUnavailableTimeDown,S5NR_PUSCHAvgSINR_dB,S5NR_PUCCHAvgSINR_dB,CAUSEE1APTRANSPORTLAYERUNSPECIFIED,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,S5NR_PDCCH_SlotRationBlocking_DL_%,S5NR_PDCCH_SlotRationBlocking_UL_%,S5NR_PDCCH_SlotRationBlocking_Tot_%,S5NC_DRBDrop_%_SA,S5NC_DRBSetupFail_%_SA,S5NR_TotalERABSetupFailureRate_%_num,S5NR_TotalERABSetupFailureRate_%_den,S5NC_DRBDrop_num_SA,S5NC_DRBDrop_den_SA,S5NC_DRBSetupFail_num_SA,S5NC_DRBSetupFail_den_SA,Sum_DLRLCDataVolume_MB
09/27/2025,05,5GNR,Upstate New York,070,Buffalo,0.05,440087,6314432.11,528069.55,5395257.04,321629.13,146.14,4.23,551713,7969,1.44,74.81,0.74,0.89,0.19,127558,240,0.58,39774,232,71.97,78.94,1083701,745759,793630,588737,779950,0.59,2820,88,0,0,277,0,0,1123,0,317732,9596,4,0,21259,884,7,439864,24553680,94.99,1222072,13.59,9.16,0,0,0.88,0.37,0.73,0.43,0.05,223,440087,2869,660836,313,661468,6282767.64
Total,*,*,*,*,*,0.05,440087,6314432.11,528069.55,5395257.04,321629.13,146.14,4.23,551713,7969,1.44,74.81,0.74,0.89,0.19,127558,240,0.58,39774,232,71.97,78.94,1083701,745759,793630,588737,779950,0.59,2820,88,0,0,277,0,0,1123,0,317732,9596,4,0,21259,884,7,439864,24553680,94.99,1222072,13.59,9.16,0,0,0.88,0.37,0.73,0.43,0.05,223,440087,2869,660836,313,661468,6282767.64
