DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DUNAME,DU,SECTOR,CARRIER,5GNR_ENDC_Drop%,5GNR_ENDC_Drop_%_num,5GNR_ENDC_Drop_%_den,S5NR_Cell_Availability_%,ErabAddAtt_per_GNB,ErabAddSucc_per_GNB,S5NR_DLMACLayerDataVolume_MB,S5NR_DLPRBUtilization_%,S5NR_DLUserPerceivedTput_Mbps,S5NR_PDCCH_SlotRationBlocking_DL_%,S5NR_PDCCH_SlotRationBlocking_Tot_%,S5NR_PDCCH_SlotRationBlocking_UL_%,S5NR_PUCCH_BLER_%,S5NR_PUCCHAvgSINR_dB,S5NR_PUSCHAvgSINR_dB,S5NR_TotalDLRLCLayerDataVolume_MB,S5NR_TotalERABSetupFailureRate_%,S5NR_TotalULRLCLayerDataVolume_MB,S5NR_ULMACLayerDataVolume_MB,S5NR_ULPRBUtilization_%,S5NR_ULUserPerceivedTput_Mbps,S5NC_DRBDrop_%_SA,S5NC_NRDCAdd_MN_Succ_%_SA,S5NC_NGSetupFailure_%_SA,S5NC_RRCSetupFailure_%_SA,S5NC_EPSFB_IRAT_HO_PrepFailure_%_SA,S5NC_EmergFB_IRAT_HO_Failure_%_SA,S5NC_EPSFB_IRAT_HO_Failure_%_SA,RssiPathAvg_Path0,RssiPathAvg_Path1,RssiPathAvg_Path2,RssiPathAvg_Path3,RssiPathAvg,S5NR_PDCCH_Blocking_Tot_%,S5NC_MaxUENo_SPID125,S5ND_TotalMACDataVolumeDL_MB_SPID125,S5ND_DLUeThru_Mbps_SPID125,S5NC_ERAB_Drop_Rate_FWA_%_num,S5NC_ERAB_Drop_Rate_FWA_%,S5NC_ERABSetupFailureRate%_QCI132,S5NR_TotalERABSetupFailureRate_%_num,S5NR_TotalERABSetupFailureRate_%_den,S5NC_DRBDrop_num_SA,S5NC_DRBDrop_den_SA,S5NC_DRBSetupFail_%_SA,S5NC_DRBSetupFail_num_SA,S5NC_DRBSetupFail_den_SA,S5NR_IntragNBHOFailRate_%,S5NR_IntragNBHOFailRate_den,S5NR_IntragNBHOFailRate_num,S5NR_IntergNBHOFailRate_%,S5NR_IntergNBHOFailRate_den,S5NR_IntergNBHOFailRate_num,S5NR_AvgRRCconnectedUsersPerDU_PerCell,Sum_DLRLCDataVolume_MB
09/27/2025,18,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,290_NFB,3052,181,10,0.95,31,3247,100,1803,1803,22942.63,16.23,174.43,1.35,1.54,1.83,0.54,7.97,14.08,17618.39,0,1088.25,2643.36,21.73,3.27,0.1,NaN,0,0.14,0,NaN,0,-88.11,-88.28,-88.55,-88.61,-88.43,0.65,7,617.72,363.96,0,0,0,0,1803,3,3011,0,0,2790,0.16,1287,2,0,82,0,23.85,22104.02
09/27/2025,18,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,290_NFB,3052,181,11,0.95,12,1264,100,1054,1052,6851.5,6.5,172.44,0.56,0.65,0.78,0.55,8.29,17.38,6880.96,0.19,1039.5,1387.02,15.07,9.99,0,NaN,0,0.16,0,NaN,0,-90.53,-90.53,-90.55,-90.65,-90.62,0.42,2,4.08,NaN,0,0,0,2,1054,0,541,0,0,635,0.16,644,1,0,8,0,8.38,7345.43
09/27/2025,18,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,290_NFB,3052,182,10,0.56,25,4437,100,1632,1631,20783.69,13.25,185.49,1.55,1.32,0.92,1.07,8.46,16.22,15207.2,0.06,1832.93,3355.86,29.27,7.2,0.28,NaN,0,0.32,0,NaN,0,-86.91,-87.01,-87,-87.05,-86.95,0.56,1,4.13,341.44,0,0,NaN,1,1632,7,2536,0,0,2505,0.16,2477,4,0,121,0,18.35,22292.09
09/27/2025,18,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,290_NFB,3052,182,11,0.26,3,1149,100,499,499,7175.95,6.41,129.88,0.47,0.56,0.76,0.99,8.9,18.54,3139.26,0,323.92,482.57,5.2,10.23,0,NaN,0,0.19,0,NaN,0,-90.65,-90.76,-90.67,-90.64,-90.57,0.48,1,0.87,393.22,0,0,0,0,499,0,432,0,0,559,0.13,747,1,0,18,0,3.5,5492.06
09/27/2025,18,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,290_NFB,3052,183,10,1.15,15,1299,100,444,444,4723.45,2.65,184.17,1.61,1.23,0.55,0.81,8.7,18.38,4197.28,0,600.42,961.25,6.21,14.65,0.51,NaN,0,1.38,0,NaN,0,-88.82,-88.75,-88.85,-88.92,-88.79,0.98,1,7.31,404.92,0,0,0,0,444,3,594,0,0,614,1.47,882,13,0,28,0,3.76,4756.72
09/27/2025,18,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,290_NFB,3052,183,11,1.59,5,314,100,113,113,974.07,0.81,230.49,0.38,0.47,0.83,1.16,9.17,20.26,453.87,0,190.87,237.48,1.69,27.38,0,NaN,0,0,0,NaN,0,-92.33,-92.46,-92.4,-92.58,-92.46,0.54,0,0,NaN,0,NaN,NaN,0,113,0,91,0,0,135,0,242,0,0,4,0,0.74,897.28
09/27/2025,18,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,400_277_HD,2265,64,7,7.03,51,725,100,247,247,265.3,5.19,14.35,3.36,2.82,1.42,12.59,8.64,11.79,324.52,0,4.37,31.28,0.81,1.39,0.58,NaN,0,5.19,0,NaN,0,-99.11,-99.01,-99.15,-99.11,-99.1,3.03,0,0,NaN,0,NaN,NaN,0,247,3,516,0.41,3,733,0.54,371,2,0,16,0,1.42,395.59
09/27/2025,18,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,400_277_HD,2265,65,7,2.79,40,1436,100,556,556,574.53,11.47,10.48,6.66,5.04,2.94,14.18,8.81,10.85,450.03,0,4.63,118.59,2.99,1.45,0.24,NaN,0,0.33,0,NaN,0,-99.79,-99.97,-96.8,-100.14,-99.18,5.13,0,0,NaN,0,NaN,NaN,0,556,5,2074,0,0,2710,0,643,0,0,88,0,1.73,894.03
09/27/2025,18,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,400_277_HD,2265,66,7,7.78,124,1593,100,451,451,866.5,18.23,5.21,10.21,7.81,4.7,19.72,8.67,10.69,464.12,0,5.57,204.69,5.01,2.06,0.34,NaN,0,2.67,0,NaN,0,-98.58,-98.88,-98.47,-98.9,-98.71,8.16,0,0,NaN,0,NaN,NaN,0,451,10,2905,0.12,4,3443,0.34,893,3,0,6,0,2.31,1239.26
09/27/2025,18,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,400_277_HD,3265,64,10,1.12,12,1067,100,293,293,2463.87,1.67,211.56,0.53,0.38,0.17,1.38,8.05,9.25,2175.8,0,92.49,202.86,8.33,1.37,0.91,NaN,0,0.72,0,NaN,0,-76.51,-76.45,-75.06,-76.15,-75.42,0.32,1,0,NaN,0,0,NaN,0,293,3,330,0,0,296,0.26,776,2,0,9,0,2.46,2446.96
