DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/27/2025,18,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0001,263.04,71,41,41,100,21,33,33,100,40.77,100,135,135,2.9,4,138,7.96,7.84,6.17,9.52,1.37,0.09,100,100,71,135,2451.69,2444.04
09/27/2025,18,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0002,148.66,9,45,45,100,5,1,1,100,5.28,100,7,7,0,0,4,89.38,13.23,0.49,0.49,1.73,0.26,100,100,9,7,1385.59,1381.94
09/27/2025,18,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0001,169.25,41,20,20,100,13,8,8,100,23.9,100,92,92,15,12,80,38.16,15.61,1.92,1.33,3.46,0.36,100,100,41,92,1577.54,1572.64
09/27/2025,18,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0002,215.96,14,19,19,100,7,24,24,100,44.56,100,125,125,12.7,16,126,57.33,22.16,2.22,1.09,1.7,0.04,100,100,14,125,2012.86,2006.94
09/27/2025,18,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0001,71.42,18,13,13,100,9,732,732,100,12.11,100,935,935,1.4,13,931,57,20.79,0.7,0.37,7.16,0.02,100,100,18,935,665.68,663.59
09/27/2025,18,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0002,26.66,5,10,10,100,5,201,201,100,11.59,99.6,251,252,0,0,254,49,30.89,0.44,0.16,1.63,0.06,100,100,5,252,248.53,247.56
09/27/2025,18,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0001,60.26,3,7,7,100,3,22,22,100,2.92,100,31,31,3.12,1,32,0.44,2.72,0.26,31.9,2.13,0.11,100,100,3,31,561.65,560.13
09/27/2025,18,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0002,1304.49,3,8,8,100,5,30,30,100,65.95,100,92,92,0,0,90,95.15,3.13,5.07,3.2,1.34,0.12,100,100,3,92,12158.73,12127.68
09/27/2025,18,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0001,386.73,15,20,20,100,9,232,232,100,36.93,100,942,942,0.43,4,938,67.96,4.62,1.9,1.33,8.74,0.11,100,100,15,942,3604.6,3594.6
09/27/2025,18,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0002,281.01,28,26,26,100,12,569,569,100,211.67,99.91,1121,1122,0.64,7,1093,19.45,15.63,3.17,3.38,1.99,0.18,100,100,28,1122,2619.18,2611.34
Total,*,*,*,*,*,*,*,*,*,2927.47,207,209,209,100,21,1852,1852,100,455.67,99.95,3731,3733,1.55,57,3686,13.62,8.39,2.23,5.28,2.13,0.13,100,1000.0,207.0,3733.0,27286.049999999996,27210.459999999995
