Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'ACPF.CpuUsageAvg.percent','ACPF.CpuUsageMax.percent','ACPF.CpuUsageMin.percent','ACPF.DiskUsageAvg.percent','ACPF.DiskUsageMax.percent','ACPF.DiskUsageMin.percent','ACPF.MemUsageAvg.percent','ACPF.MemUsageMax.percent','ACPF.MemUsageMin.percent','ACPF.MemUsageTot.number','ACPF.DiskUsageTot.number','ACPF.CpuUsageTot.number','ACPF.DiskUsageCnt.number','ACPF.InThruPeak_VM.number','ACPF.OutThruPeak_VM.number'
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-00,2025-09-27T16:00:00-04:00,3600,7.58,8.4,6.73,2.46,2.47,2.46,41.2,41.22,41.18,14831.36,886.42,2729.68,,5.53,5.93
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T16:00:00-04:00,3600,3.79,9.82,2.44,0.67,0.67,0.67,7.63,7.65,7.62,2747.66,240.95,1363.3,,27.52,26.45
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T16:00:00-04:00,3600,1.82,2.94,1.37,12.87,12.88,12.87,85.25,85.27,85.23,30688.67,4634.32,655.48,,22.17,166.13
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-01,2025-09-27T16:00:00-04:00,3600,7.43,8.05,6.97,2.47,2.47,2.46,41.64,41.66,41.62,14989.55,888.44,2676.17,,2.76,3.17
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T16:00:00-04:00,3600,4.58,12.68,3.09,0.72,0.73,0.72,8.52,8.54,8.51,3066.93,260.51,1648.65,,26.48,34.96
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T16:00:00-04:00,3600,1.61,2.33,1.26,12.87,12.88,12.87,85.49,85.51,85.48,30776.48,4633.36,579.31,,34.7,80.09
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-00,2025-09-27T16:00:00-04:00,3600,6.16,6.6,5.95,2.33,2.33,2.32,40.59,40.62,40.58,14614.22,838.68,2217.17,,0.73,0.28
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-00,2025-09-27T16:00:00-04:00,3600,1.18,3.17,0.92,0.46,0.46,0.46,6.52,6.52,6.51,2346.78,166.12,422.88,,1.39,1.96
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T16:00:00-04:00,3600,0.77,1.24,0.56,12.81,12.82,12.81,84.14,84.15,84.13,30289.7,4612.92,277.79,,0.39,0.4
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-00,2025-09-27T16:00:00-04:00,3600,22.18,42.73,2.96,2.46,2.47,2.43,37.83,38.67,37,27239.32,1765.08,15969.3,,190.92,164.35
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T16:00:00-04:00,3600,7.87,25.97,1.15,1.7,2.12,1.29,18.09,24.57,11.86,13029.02,1218.76,5667.64,,440.92,508.48
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T16:00:00-04:00,3600,13.1,27.86,0.51,9.92,9.94,9.9,78.29,79.97,76.62,56370.62,7142.12,9432.91,,116.57,7145.01
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-02,2025-09-27T16:00:00-04:00,3600,25.71,27.82,24.36,9.93,9.94,9.92,79.9,79.93,79.89,28763.35,3574.09,9255.56,,110.51,7133.49
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-03,2025-09-27T16:00:00-04:00,3600,0.64,1.04,0.54,9.86,9.86,9.85,76.58,76.65,76.56,27569.82,3548.56,230.28,,0.46,0.36
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-00,2025-09-27T16:00:00-04:00,3600,16.42,18.07,15.34,2.47,2.47,2.46,38.87,38.89,38.85,13991.3,888.48,5909.74,,65.65,58.5
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-01,2025-09-27T16:00:00-04:00,3600,3.84,4.47,3.11,2.43,2.44,2.43,36.96,36.98,36.94,13305.43,875.57,1381.51,,0.85,0.62
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T16:00:00-04:00,3600,6.63,19.73,1.01,1.58,1.87,1.31,15.74,19.9,11.71,11337.74,1140.89,4773.45,,189.03,203.18
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T16:00:00-04:00,3600,11.27,12.11,10.07,9.92,9.93,9.92,79.81,79.82,79.8,28731.7,3572.58,4055.13,,48.08,3768.46
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-01,2025-09-27T16:00:00-04:00,3600,0.64,0.81,0.54,9.9,9.91,9.9,76.61,76.63,76.61,27581.3,3565.7,229.95,,0.51,0.45
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-02,2025-09-27T16:00:00-04:00,3600,11.01,12.47,10.2,9.93,9.93,9.92,79.78,79.79,79.76,28719.06,3573.05,3965.24,,50.86,5361.18
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-03,2025-09-27T16:00:00-04:00,3600,0.61,1.09,0.51,9.91,9.92,9.91,76.7,76.72,76.69,27613.71,3568.84,218.19,,0.38,0.47
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-00,2025-09-27T16:00:00-04:00,3600,3.49,4.01,3.01,2.44,2.46,2.43,37.23,37.49,36.97,26802.23,1757.29,2512.53,,1.07,1.78
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-00,2025-09-27T16:00:00-04:00,3600,1.32,2.99,1.09,1.28,1.28,1.28,11.66,11.7,11.64,4197.74,461.24,474.68,,2.23,2.45
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T16:00:00-04:00,3600,2.13,6.52,1.12,1.29,1.29,1.29,12.41,12.45,12.39,4467.15,463.56,766.21,,4.24,6.58
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T16:00:00-04:00,3600,0.8,1.25,0.59,9.92,9.93,9.91,77.48,78.33,76.69,55784.93,7140.51,573.11,,3.19,20.1
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-02,2025-09-27T16:00:00-04:00,3600,0.83,1.24,0.56,9.87,9.87,9.85,77.46,78.3,76.62,55770.39,7100.81,597.76,,2.87,25.21
