Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'sector.DL_GTP_Data_Volume_RN_MB','sector.ENDC.Sessions.RN','sector.Intra.CU.HO.Attempts.number','sector.Max.ENDC.Sessions.RN.number','sector.Intra_CU_HO_Attempts_RN','sector.Intra_CU_HO_Success_RN','sector.Intra_CU_HO_Success_Rate_RN_pct','sector.SgNB_Modification_Attempts_RN','sector.SgNB_Modification_Success_RN','sector.SgNB_Modification_Success_Rate_RN_pct','sector.UL_GTP_Data_Volume_RN_MB','sector.Attach_Success_rate_pct_RN','sector.Attach_Success_RN_Num','sector.Attach_Success_RN_Den','sector.Drop_rate_pct_RN','sector.Drop_RN_Num','sector.Drop_RN_Den','sector.DL_Tput_RN_Mbps','sector.UL_Tput_RN_Mbps','sector.UL_TTI_Util_Rate_pct_RN','sector.DL_TTI_Util_Rate_pct_RN','sector.DL_HARQ_Residual_BLER_pct_RN','sector.UL_HARQ_Residual_BLER_pct_RN','sector.Cell_Availability_RN'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001,2025-09-27T07:00:00-04:00,3600,136.4,54,,17,0,0,NaN,35,35,100,21.31,100,41,41,2.44,1,41,76.87,17.6,1.4,0.5,0.09,0.32,100
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002,2025-09-27T07:00:00-04:00,3600,0.33,12,,3,0,0,NaN,0,0,NaN,0.2,NaN,0,0,NaN,0,0,15.08,4.68,0.05,0.01,0.07,0.83,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001,2025-09-27T07:00:00-04:00,3600,9.91,22,,8,0,0,NaN,11,11,100,2.33,100,35,35,26.67,8,30,22.33,14.23,0.19,0.13,11.37,0.38,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002,2025-09-27T07:00:00-04:00,3600,8.19,6,,4,0,0,NaN,4,4,100,1.55,100,42,42,0,0,42,86.74,22.25,0.08,0.03,0.41,0.03,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001,2025-09-27T07:00:00-04:00,3600,32.5,4,,3,0,0,NaN,220,220,100,4.21,100,261,261,1.53,4,261,92.18,20.48,0.25,0.1,2.73,0,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002,2025-09-27T07:00:00-04:00,3600,4.82,6,,5,0,0,NaN,98,98,100,1.68,100,131,131,0,0,131,30.13,20.55,0.1,0.05,8.15,0.04,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001,2025-09-27T07:00:00-04:00,3600,0,0,,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002,2025-09-27T07:00:00-04:00,3600,0,0,,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001,2025-09-27T07:00:00-04:00,3600,46.89,12,,6,2,2,100,244,244,100,7.65,99.82,540,541,0.19,1,536,48.93,3.89,0.47,0.22,11.17,0.13,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002,2025-09-27T07:00:00-04:00,3600,82.19,25,,11,0,0,NaN,531,531,100,13.65,100,1008,1008,0.6,6,1001,41.54,3.98,0.82,0.46,12.81,0.25,100
Global,*,VCP Far Edge,NR,,*,000000*000*-*,,3600,321.22,141,,17,2,2,100,1143,1143,100,52.58,99.95,2058,2059,0.98,20,2042,55.32,7.28,0.34,0.15,6.33,0.24,100
