Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'sector.DL_GTP_Data_Volume_RN_MB','sector.ENDC.Sessions.RN','sector.Intra.CU.HO.Attempts.number','sector.Max.ENDC.Sessions.RN.number','sector.Intra_CU_HO_Attempts_RN','sector.Intra_CU_HO_Success_RN','sector.Intra_CU_HO_Success_Rate_RN_pct','sector.SgNB_Modification_Attempts_RN','sector.SgNB_Modification_Success_RN','sector.SgNB_Modification_Success_Rate_RN_pct','sector.UL_GTP_Data_Volume_RN_MB','sector.Attach_Success_rate_pct_RN','sector.Attach_Success_RN_Num','sector.Attach_Success_RN_Den','sector.Drop_rate_pct_RN','sector.Drop_RN_Num','sector.Drop_RN_Den','sector.DL_Tput_RN_Mbps','sector.UL_Tput_RN_Mbps','sector.UL_TTI_Util_Rate_pct_RN','sector.DL_TTI_Util_Rate_pct_RN','sector.DL_HARQ_Residual_BLER_pct_RN','sector.UL_HARQ_Residual_BLER_pct_RN','sector.Cell_Availability_RN'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001,2025-09-27T14:00:00-04:00,3600,1042.37,79,,23,29,29,100,52,52,100,149.78,99.51,205,206,2.46,5,203,44.19,27.63,6.42,6.88,0.71,0.17,100
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002,2025-09-27T14:00:00-04:00,3600,11.71,13,,5,27,27,100,4,4,100,5.26,100,16,16,5.56,1,18,11.64,19.88,0.32,0.29,12.68,0.19,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001,2025-09-27T14:00:00-04:00,3600,285.46,47,,14,20,15,75,10,10,100,56.17,97.67,84,86,20.27,15,74,50.21,24.71,2.7,1.65,5.01,0.39,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002,2025-09-27T14:00:00-04:00,3600,147.75,17,,7,18,17,94.44,15,15,100,43.59,98.64,145,147,22.22,30,135,64.44,32.05,1.6,0.65,3.08,0.02,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001,2025-09-27T14:00:00-04:00,3600,1428.94,20,,12,82,81,98.78,785,785,100,78.51,99.9,1043,1044,0.67,7,1048,97.14,24.43,3.86,4.3,3.44,0.14,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002,2025-09-27T14:00:00-04:00,3600,240.89,16,,10,86,86,100,261,261,100,51.59,100,399,399,1.02,4,392,27.8,30.92,2.19,2.68,3.12,0.06,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001,2025-09-27T14:00:00-04:00,3600,582.05,3,,4,17,17,100,34,34,100,141.87,97.62,82,84,0,0,80,16.38,5.88,5.68,8.31,0.37,0.05,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002,2025-09-27T14:00:00-04:00,3600,88.18,4,,4,21,21,100,19,19,100,9.44,100,104,104,1.02,1,98,68.94,4.04,0.56,0.3,1.76,2.28,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001,2025-09-27T14:00:00-04:00,3600,8528.01,35,,14,37,37,100,318,318,100,237.5,100,979,979,0.62,6,969,282.23,4.92,11.52,7.06,1.04,0.12,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002,2025-09-27T14:00:00-04:00,3600,3503.64,44,,18,38,37,97.37,682,682,100,71.07,100,1244,1244,0.32,4,1236,70.84,2.23,7.66,11.58,0.42,0.08,100
Global,*,VCP Far Edge,NR,,*,000000*000*-*,,3600,15858.98,278,,23,375,367,97.87,2180,2180,100,844.78,99.81,4301,4309,1.72,73,4253,91.79,7.01,4.25,4.37,1.24,0.15,100
