Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'Ericsson5GCarrier.pmEndcSetupUeAtt','Ericsson5GCarrier.EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps','Ericsson5GCarrier.EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB','Ericsson5GCarrier.EBSN_ENDC_Peak_UE_FWA_Spid125','Ericsson5GCarrier.EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_pct_of_Total','Ericsson5GCarrier.5GNR_ENDC_Drop_pct','Ericsson5GCarrier.5GNR_ENDC_Drop_Num','Ericsson5GCarrier.5GNR_ENDC_Drop_Den','Ericsson5GCarrier.5GNR_Cell_Availability_pct','Ericsson5GCarrier.5GNR_RACH_Msg3_Failure_pct','Ericsson5GCarrier.5GNR_RACH_Msg3_Failure_pct_Num','Ericsson5GCarrier.5GNR_RACH_Msg3_Failure_pct_Den','Ericsson5GCarrier.5GNR_DL_MAC_Volume_MB'
143,Florida,VCP Far Edge,NR,,,1439221_0001_0001_04,2025-09-27T13:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1439221_0001_0001_08,2025-09-27T13:00:00-04:00,3600,46,NaN,0,0,0,0,0,46,100,12.31,263,2137,945.18
143,Florida,VCP Far Edge,NR,,,1439221_0001_0002_04,2025-09-27T13:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1439221_0001_0002_08,2025-09-27T13:00:00-04:00,3600,33,NaN,0,0,0,0,0,39,100,7.77,168,2161,854.52
143,Florida,VCP Far Edge,NR,,,1439221_0001_0003_04,2025-09-27T13:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1439221_0001_0003_08,2025-09-27T13:00:00-04:00,3600,8,NaN,0,0,0,0,0,9,100,12.12,104,858,246.66
143,Florida,VCP Far Edge,NR,,,1437028_0001_0001_08,2025-09-27T13:00:00-04:00,3600,334,NaN,0,1,0,0,0,316,100,37.29,726,1947,904.44
143,Florida,VCP Far Edge,NR,,,1437028_0001_0001_10,2025-09-27T13:00:00-04:00,3600,365,325.42,8723.04,8,52.83,1.84,8,435,100,57.62,2246,3898,17366.17
143,Florida,VCP Far Edge,NR,,,1437028_0001_0001_11,2025-09-27T13:00:00-04:00,3600,171,83.13,1936.26,4,76.42,1.82,2,110,100,62.72,582,928,2631.83
143,Florida,VCP Far Edge,NR,,,1437028_0001_0002_08,2025-09-27T13:00:00-04:00,3600,1702,42.76,4427.33,4,30.58,1.29,21,1625,100,28.51,2821,9895,9528.57
