Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'sector.DL_GTP_Data_Volume_RN_MB','sector.ENDC.Sessions.RN','sector.Intra.CU.HO.Attempts.number','sector.Max.ENDC.Sessions.RN.number','sector.Intra_CU_HO_Attempts_RN','sector.Intra_CU_HO_Success_RN','sector.Intra_CU_HO_Success_Rate_RN_pct','sector.SgNB_Modification_Attempts_RN','sector.SgNB_Modification_Success_RN','sector.SgNB_Modification_Success_Rate_RN_pct','sector.UL_GTP_Data_Volume_RN_MB','sector.Attach_Success_rate_pct_RN','sector.Attach_Success_RN_Num','sector.Attach_Success_RN_Den','sector.Drop_rate_pct_RN','sector.Drop_RN_Num','sector.Drop_RN_Den','sector.DL_Tput_RN_Mbps','sector.UL_Tput_RN_Mbps','sector.UL_TTI_Util_Rate_pct_RN','sector.DL_TTI_Util_Rate_pct_RN','sector.DL_HARQ_Residual_BLER_pct_RN','sector.UL_HARQ_Residual_BLER_pct_RN','sector.Cell_Availability_RN'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001,2025-09-27T16:00:00-04:00,3600,904.07,74,,24,38,38,100,44,44,100,82.41,100,174,174,2.89,5,173,15.99,12.38,7.81,16.03,0.96,0.1,100
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002,2025-09-27T16:00:00-04:00,3600,35.59,13,,6,38,38,100,3,3,100,5.96,100,24,24,4.17,1,24,39.13,18.36,0.29,0.16,4.74,0.42,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001,2025-09-27T16:00:00-04:00,3600,109.91,41,,13,32,31,96.88,12,12,100,21.3,100,105,105,16.67,16,96,47.43,15.77,1.62,0.68,7.96,0.75,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002,2025-09-27T16:00:00-04:00,3600,61.99,17,,9,33,33,100,16,16,100,18.53,99.36,156,157,17.76,27,152,4.24,16.53,1.32,4.23,0.68,0.05,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001,2025-09-27T16:00:00-04:00,3600,135.48,15,,9,26,26,100,725,725,100,13.08,100,935,935,0.97,9,925,78.53,18.92,0.93,0.52,6.24,0.07,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002,2025-09-27T16:00:00-04:00,3600,1626.86,3,,8,16,16,100,245,245,100,12.9,100,377,377,1.29,5,387,198.76,13.16,1.15,2.39,3.7,0.03,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001,2025-09-27T16:00:00-04:00,3600,699.72,0,,3,16,16,100,11,11,100,27.94,93.75,30,32,3.57,1,28,120.76,4.69,1.42,1.36,0.46,0.17,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002,2025-09-27T16:00:00-04:00,3600,2737.3,9,,5,14,14,100,35,35,100,100.41,100,160,160,2.5,4,160,133.23,6.25,3.8,4.8,1.06,0.09,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001,2025-09-27T16:00:00-04:00,3600,442.65,21,,10,55,55,100,269,269,100,48.19,100,888,888,0.8,7,876,77.67,5.06,2.26,1.33,6.69,0.12,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002,2025-09-27T16:00:00-04:00,3600,533.8,34,,16,55,54,98.18,636,636,100,72.22,100,1231,1231,0.08,1,1216,90.36,5.23,3.28,1.38,1.95,0.04,100
Global,*,VCP Far Edge,NR,,*,000000*000*-*,,3600,7287.38,227,,24,323,321,99.38,1996,1996,100,402.94,99.93,4080,4083,1.88,76,4037,60.34,7.13,2.39,3.29,1.56,0.13,100
