Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'ACPF.CpuUsageAvg.percent','ACPF.CpuUsageMax.percent','ACPF.CpuUsageMin.percent','ACPF.DiskUsageAvg.percent','ACPF.DiskUsageMax.percent','ACPF.DiskUsageMin.percent','ACPF.MemUsageAvg.percent','ACPF.MemUsageMax.percent','ACPF.MemUsageMin.percent','ACPF.MemUsageTot.number','ACPF.DiskUsageTot.number','ACPF.CpuUsageTot.number','ACPF.DiskUsageCnt.number','ACPF.InThruPeak_VM.number','ACPF.OutThruPeak_VM.number'
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,ACPF-CIC-00,2025-09-27T01:00:00-04:00,3600,3.44,4.27,3.02,2.44,2.45,2.42,36.88,37.15,36.61,26553.64,1754.55,2478.37,,0.7,1.05
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,ACPF-CMC-00,2025-09-27T01:00:00-04:00,3600,1.29,3.06,1.05,1.28,1.28,1.28,11.27,11.31,11.24,4055.59,461.26,463.72,,3.61,3.56
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,ACPF-CMC-01,2025-09-27T01:00:00-04:00,3600,2.08,6.85,1.18,1.29,1.29,1.29,11.9,11.95,11.84,4282.64,464.25,747.57,,3.03,6.69
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,ACPF-CPC-00,2025-09-27T01:00:00-04:00,3600,0.72,1.19,0.59,9.91,9.93,9.9,77.25,78.02,76.46,55615.88,7139.78,515.32,,2.81,3.2
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,ACPF-CPC-02,2025-09-27T01:00:00-04:00,3600,0.77,1.14,0.54,9.87,9.87,9.85,77.23,78.07,76.39,55604.81,7100.32,553.06,,2.66,2.49
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-00,2025-09-27T01:00:00-04:00,3600,7.05,7.57,6.45,2.46,2.47,2.46,40.91,40.96,40.86,14727.85,886.19,2535.93,,1.94,1.48
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T01:00:00-04:00,3600,3.26,7.31,2.39,0.66,0.67,0.66,7.15,7.17,7.12,2573.49,238.41,1173.53,,12.77,23.45
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T01:00:00-04:00,3600,0.86,1.41,0.73,12.88,12.88,12.87,85,85.03,84.99,30602.68,4635.31,311.17,,20.47,23.62
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-01,2025-09-27T01:00:00-04:00,3600,7.22,7.95,6.69,2.47,2.47,2.46,41.34,41.37,41.31,14883.77,887.77,2600.06,,2.5,2.62
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T01:00:00-04:00,3600,3.95,11.21,3.13,0.72,0.73,0.72,7.82,7.87,7.75,2813.1,259.42,1421.05,,27.13,35.52
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T01:00:00-04:00,3600,1.24,2.03,0.95,12.87,12.87,12.86,85.22,85.25,85.19,30680.22,4632.81,447.14,,32.65,36.54
