Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'AUPF.CpuUsageAvg.percent','AUPF.CpuUsageMax.percent','AUPF.CpuUsageMin.percent','AUPF.DiskUsageAvg.percent','AUPF.DiskUsageMax.percent','AUPF.DiskUsageMin.percent','AUPF.MemUsageAvg.percent','AUPF.MemUsageMax.percent','AUPF.MemUsageMin.percent','AUPF.MemUsageTot.number','AUPF.DiskUsageTot.number','AUPF.CpuUsageTot.number','AUPF.DiskUsageCnt.number','AUPF.InThruPeak_VM.number','AUPF.OutThruPeak_VM.number'
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,AUPF-UIC-00,2025-09-27T02:00:00-04:00,3600,1.42,2.33,1.13,6.97,7.07,6.87,40.45,40.69,40.22,29121.39,5018.83,1021.36,720,0.35,0.37
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,AUPF-UMC-00,2025-09-27T02:00:00-04:00,3600,2.67,9.95,2.01,2.18,2.18,2.17,18.01,18.06,17.96,6484.16,783.46,959.9,360,2.91,2.63
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,AUPF-UMC-01,2025-09-27T02:00:00-04:00,3600,3.22,12.39,2.32,3.08,3.08,3.08,18.45,18.53,18.39,6642.19,1108.77,1160.51,360,2.69,2.66
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,AUPF-UPC-00,2025-09-27T02:00:00-04:00,3600,3.31,6.46,2.63,2.38,2.4,2.36,53.98,55.56,52.4,38865.9,1711.58,2382.7,720,11.11,10.71
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,AUPF-UPC-01,2025-09-27T02:00:00-04:00,3600,3.3,5.66,2.78,2.34,2.34,2.33,53.96,55.52,52.39,38850.26,1683.51,2379.72,720,30.22,29.83
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00,2025-09-27T02:00:00-04:00,3600,1.39,2.1,1.25,6.91,6.93,6.9,40.82,40.95,40.7,14695.04,2488.76,500.75,360,0.22,0.17
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01,2025-09-27T02:00:00-04:00,3600,3.79,15.18,2.19,1.01,1.01,1,18.43,18.5,18.36,6633.08,362.1,1364.02,360,2.93,2.83
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T02:00:00-04:00,3600,3.66,6.38,3.19,2.35,2.36,2.35,55.65,55.67,55.63,20032.19,847.67,1315.8,360,566.84,533.38
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T02:00:00-04:00,3600,3.78,6.32,3.29,2.36,2.36,2.35,55.63,55.65,55.61,20027.54,847.96,1359.78,360,240.85,242.41
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00,2025-09-27T02:00:00-04:00,3600,1.44,2.02,1.26,6.87,6.88,6.85,40.95,41.09,40.84,14744,2473.34,518.53,360,0.36,0.33
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01,2025-09-27T02:00:00-04:00,3600,3.6,13.66,2.21,1.72,1.72,1.72,18.59,18.67,18.52,6693.98,618.04,1297.74,360,2.76,2.78
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T02:00:00-04:00,3600,3.8,6.77,3.34,2.4,2.41,2.4,55.33,55.35,55.3,19917.73,865.01,1366.86,360,469.83,473.65
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T02:00:00-04:00,3600,3.71,6.34,3.19,2.34,2.35,2.34,55.3,55.32,55.28,19907.61,844.09,1334.19,360,379.1,381.9
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00,2025-09-27T02:00:00-04:00,3600,1.93,2.68,1.28,6.7,6.72,6.68,40.34,40.47,40.22,14522.77,2411.29,695.64,360,0.22,0.17
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01,2025-09-27T02:00:00-04:00,3600,3.4,11,2.27,0.79,0.79,0.79,17.93,17.99,17.87,6456.59,284.89,1221.77,360,2.79,2.71
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T02:00:00-04:00,3600,3.27,6.14,2.73,2.3,2.31,2.3,52.8,52.82,52.78,19008.52,829.11,1178.81,360,0.24,0.21
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01,2025-09-27T02:00:00-04:00,3600,3.28,6.01,2.84,2.3,2.31,2.3,52.72,52.74,52.7,18978.09,829.43,1180.51,360,0.43,0.48
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00,2025-09-27T02:00:00-04:00,3600,1.4,1.57,1.23,7.05,7.07,7.04,40.39,40.51,40.29,14539.48,2539.25,502.38,360,0.23,0.13
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-01,2025-09-27T02:00:00-04:00,3600,5.7,7.03,3.39,7.06,7.07,7.05,40.45,40.54,40.34,14560.8,2541.09,2053,360,6.16,7.41
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01,2025-09-27T02:00:00-04:00,3600,4.78,32.07,2.44,2.69,3.38,2.01,18.83,19.64,18.22,13555.96,1934.13,3443.08,720,31.67,20.6
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00,2025-09-27T02:00:00-04:00,3600,5.17,9.95,2.99,2.36,2.4,2.33,54.34,56.31,52.38,39125.82,1699.31,3718.33,720,2762.44,2767
