DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,0.01,9.05,259207.99,83886.08,309,100,47525,7496,0.9,720,3.75,0,647.74,0,8311,99.75,8311,8290,75
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,0.01,2.67,244947.35,63753.42,292,76,105522,12346,2.06,720,5.75,0.5,1486.62,0,4639,99.66,4639,4623,62
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,0.01,0.56,82208.36,56203.67,98,67,13597,6096,0,720,0,0,0,0,1851,99.95,1851,1850,12
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,0.03,1081.24,2191943.27,182032.79,2613,217,5522370,485476,28.51,3600,64.88,0,102626.74,0,454239,99.92,454230,453856,3652
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,0.03,631.23,2589563.29,225653.56,3087,269,4593155,417514,21.06,2160,51.12,0,45481.49,0,412323,99.93,412309,412039,2796
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,HNRT,0709006,0,3.24,192937.98,38587.6,230,46,3548,1066,0,1440,0.88,0,2.61,0,733,100,733,733,3
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,HNRT,0700011,0.04,2.39,158544.69,30198.99,189,36,2108,411,0,0,0,0,0,0,388,100,388,388,3
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,HNRT,0700022,0.01,4.95,289406.98,57881.4,345,69,48326,6094,0,0,0,0,0,0,2464,99.8,2464,2459,14
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,HNRT,0709002,0.03,1681.33,1773351.73,187904.82,2114,224,4787566,483246,0,0,0,0,0,0.01,418508,99.86,418502,417937,4402
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,HNRT,0709004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,HNRT,0709007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,HNRT,0709089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,HNRT,0709099,0.01,1.95,156028.11,10066.33,186,12,6682,893,0,0,0,0,0,0,611,99.84,611,610,4
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,ROCH100_HNRT,0700100,0,0.01,730647.76,13421.77,871,16,8607,145,0,0,0,0,0,0,200,99.5,200,199,3
09/27/2025,12,5GNR,Upstate New York,070,Buffalo,SABRES_ARENA_IBS_2,0700012,0,3.92,106535.32,78852.92,127,94,8895,5517,0,0,0,0,0,0,1790,99.78,1790,1786,6
Total,*,*,*,*,*,*,*,0.01,3422.54,2589563.29,225653.56,3087,269,15147901,1426300,8.75,9360,64.88,0,150245.2,0,1306057,99.9,1306028,1304770,11032
