Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'GNB.ENDCAddAtt','GNB.ENDCAddprepSucc','GNB.ENDCAddsucc','GNB.ENDCRelbySgnb.Delta','GNB.ENDCRelbySgnb','GNB.ENDCAddSuccRate'
085,New York Metro,VCP Edge 1.x,NR,,,0850450,2025-10-07T02:00:00-05:00,3600,386,386,386,,0,100
085,New York Metro,VCP Edge 1.x,NR,,,0850452,2025-10-07T02:00:00-05:00,3600,127,127,127,,0,100
085,New York Metro,VCP Edge 1.x,NR,,,0859450,2025-10-07T02:00:00-05:00,3600,75890,75888,75693,,284,99.74
085,New York Metro,VCP Edge 1.x,NR,,,0859455,2025-10-07T02:00:00-05:00,3600,10950,10950,10930,,44,99.82
085,New York Metro,VCP Edge 1.x,NR,,,0859472,2025-10-07T02:00:00-05:00,3600,23344,23344,23340,,18,99.98
085,New York Metro,VCP Edge 1.x,NR,,,0859476,2025-10-07T02:00:00-05:00,3600,8927,8927,8922,,31,99.94
085,New York Metro,VCP Edge 1.x,NR,,,0850451,2025-10-07T02:00:00-05:00,3600,11,11,11,,0,100
085,New York Metro,VCP Edge 1.x,NR,,,0850453,2025-10-07T02:00:00-05:00,3600,0,0,0,,0,NaN
085,New York Metro,VCP Edge 1.x,NR,,,0850455,2025-10-07T02:00:00-05:00,3600,0,0,0,,0,NaN
085,New York Metro,VCP Edge 1.x,NR,,,0850460,2025-10-07T02:00:00-05:00,3600,142,142,142,,0,100
085,New York Metro,VCP Edge 1.x,NR,,,0850461,2025-10-07T02:00:00-05:00,3600,30,30,30,,0,100
085,New York Metro,VCP Edge 1.x,NR,,,0850462,2025-10-07T02:00:00-05:00,3600,129,129,129,,0,100
085,New York Metro,VCP Edge 1.x,NR,,,0850463,2025-10-07T02:00:00-05:00,3600,0,0,0,,0,NaN
085,New York Metro,VCP Edge 1.x,NR,,,0850465,2025-10-07T02:00:00-05:00,3600,0,0,0,,0,NaN
085,New York Metro,VCP Edge 1.x,NR,,,0859457,2025-10-07T02:00:00-05:00,3600,6042,6039,6033,,14,99.85
085,New York Metro,VCP Edge 1.x,NR,,,0859460,2025-10-07T02:00:00-05:00,3600,80466,80466,80453,,417,99.98
085,New York Metro,VCP Edge 1.x,NR,,,0859465,2025-10-07T02:00:00-05:00,3600,17256,17256,17252,,39,99.98
085,New York Metro,VCP Edge 1.x,NR,,,0859467,2025-10-07T02:00:00-05:00,3600,18618,18618,18617,,46,99.99
085,New York Metro,VCP Edge 1.x,NR,,,0859474,2025-10-07T02:00:00-05:00,3600,14327,14327,14123,,88,98.58
085,New York Metro,VCP Edge 1.x,NR,,,0859477,2025-10-07T02:00:00-05:00,3600,6262,6260,6252,,48,99.84
085,New York Metro,VCP Edge 1.x,NR,,,0859478,2025-10-07T02:00:00-05:00,3600,8397,8397,8396,,1,99.99
085,New York Metro,VCP Edge 1.x,NR,,,0859482,2025-10-07T02:00:00-05:00,3600,12094,12094,12092,,19,99.98
085,New York Metro,VCP Edge 1.x,NR,,,0859484,2025-10-07T02:00:00-05:00,3600,22234,22232,22180,,54,99.76
085,New York Metro,VCP Edge 1.x,NR,,,0859486,2025-10-07T02:00:00-05:00,3600,10590,10590,10584,,23,99.94
085,New York Metro,VCP Edge 1.x,NR,,,0859487,2025-10-07T02:00:00-05:00,3600,27762,27761,27745,,160,99.94
085,New York Metro,VCP Edge 1.x,NR,,,0859488,2025-10-07T02:00:00-05:00,3600,7607,7607,7607,,8,100
085,New York Metro,VCP Edge 1.x,NR,,,0859499,2025-10-07T02:00:00-05:00,3600,0,0,0,,0,NaN
*,*,VCP Edge 1.x,NR,,,000000*,Total *,3600,351591,351581,351044,,1294,99.84
