Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'GNB.ENDCAddAtt','GNB.ENDCAddprepSucc','GNB.ENDCAddsucc','GNB.ENDCRelbySgnb.Delta','GNB.ENDCRelbySgnb','GNB.ENDCAddSuccRate'
056,New England,VCP Edge 1.x,NR,,,0569040,2025-10-07T08:00:00-05:00,3600,0,0,0,,0,NaN
056,New England,VCP Edge 1.x,NR,,,0560001,2025-10-07T08:00:00-05:00,3600,26614,26612,26586,,221,99.89
056,New England,VCP Edge 1.x,NR,,,0560050,2025-10-07T08:00:00-05:00,3600,5442,5442,5430,,22,99.78
056,New England,VCP Edge 1.x,NR,,,0560065,2025-10-07T08:00:00-05:00,3600,325,325,324,,1,99.69
056,New England,VCP Edge 1.x,NR,,,0560075,2025-10-07T08:00:00-05:00,3600,3636,3636,3634,,20,99.94
056,New England,VCP Edge 1.x,NR,,,0560129,2025-10-07T08:00:00-05:00,3600,2,2,2,,1,100
056,New England,VCP Edge 1.x,NR,,,0569001,2025-10-07T08:00:00-05:00,3600,688958,688931,688439,,3841,99.92
056,New England,VCP Edge 1.x,NR,,,0569600,2025-10-07T08:00:00-05:00,3600,0,0,0,,0,NaN
056,New England,VCP Edge 1.x,NR,,,0569002,2025-10-07T08:00:00-05:00,3600,543219,543216,542487,,4150,99.87
056,New England,VCP Edge 1.x,NR,,,0569050,2025-10-07T08:00:00-05:00,3600,2357,2357,2355,,9,99.92
056,New England,VCP Edge 1.x,NR,,,0560069,2025-10-07T08:00:00-05:00,3600,2692,2692,2692,,4,100
056,New England,VCP Edge 1.x,NR,,,0560051,2025-10-07T08:00:00-05:00,3600,167,167,167,,0,100
056,New England,VCP Edge 1.x,NR,,,0560052,2025-10-07T08:00:00-05:00,3600,2238,2238,2233,,17,99.78
056,New England,VCP Edge 1.x,NR,,,0560055,2025-10-07T08:00:00-05:00,3600,0,0,0,,0,NaN
056,New England,VCP Edge 1.x,NR,,,0560056,2025-10-07T08:00:00-05:00,3600,21879,21877,21850,,108,99.87
056,New England,VCP Edge 1.x,NR,,,0560057,2025-10-07T08:00:00-05:00,3600,2355,2355,2355,,7,100
056,New England,VCP Edge 1.x,NR,,,0560058,2025-10-07T08:00:00-05:00,3600,3848,3848,3841,,22,99.82
056,New England,VCP Edge 1.x,NR,,,0560059,2025-10-07T08:00:00-05:00,3600,1292,1292,1287,,13,99.61
056,New England,VCP Edge 1.x,NR,,,0560060,2025-10-07T08:00:00-05:00,3600,2154,2154,2151,,13,99.86
056,New England,VCP Edge 1.x,NR,,,0560061,2025-10-07T08:00:00-05:00,3600,5374,5374,5358,,53,99.7
056,New England,VCP Edge 1.x,NR,,,0560062,2025-10-07T08:00:00-05:00,3600,14818,14772,14750,,103,99.54
056,New England,VCP Edge 1.x,NR,,,0560066,2025-10-07T08:00:00-05:00,3600,5637,5637,5631,,24,99.89
056,New England,VCP Edge 1.x,NR,,,0560068,2025-10-07T08:00:00-05:00,3600,29366,29057,29024,,147,98.84
056,New England,VCP Edge 1.x,NR,,,0560070,2025-10-07T08:00:00-05:00,3600,15724,15724,15717,,47,99.96
056,New England,VCP Edge 1.x,NR,,,0560073,2025-10-07T08:00:00-05:00,3600,1507,1507,1505,,4,99.87
056,New England,VCP Edge 1.x,NR,,,0560074,2025-10-07T08:00:00-05:00,3600,20701,20701,20664,,106,99.82
056,New England,VCP Edge 1.x,NR,,,0560077,2025-10-07T08:00:00-05:00,3600,143,143,143,,1,100
056,New England,VCP Edge 1.x,NR,,,0560078,2025-10-07T08:00:00-05:00,3600,119,119,118,,1,99.16
056,New England,VCP Edge 1.x,NR,,,0560079,2025-10-07T08:00:00-05:00,3600,3027,3027,3025,,11,99.93
056,New England,VCP Edge 1.x,NR,,,0560120,2025-10-07T08:00:00-05:00,3600,7819,7819,7819,,1,100
056,New England,VCP Edge 1.x,NR,,,0560121,2025-10-07T08:00:00-05:00,3600,2548,2548,2548,,0,100
056,New England,VCP Edge 1.x,NR,,,0560122,2025-10-07T08:00:00-05:00,3600,568,568,567,,0,99.82
*,*,VCP Edge 1.x,NR,,,000000*,Total *,3600,1414529,1414140,1412702,,8947,99.87
