Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'CorningCarrier.COR_NSA_Cell_Availability','CorningCarrier.COR_NSA_Cell_NumOf_ENDC_sessions','CorningCarrier.COR_NSA_Cell_X2AP_SgNBAddRqst','CorningCarrier.COR_NSA_Cell_DL_Avg_DUu_GTP_TPT','CorningCarrier.COR_NSA_Cell_DL_Avg_S1U_GTP_TPT','CorningCarrier.DL_GTP_Data_Volume_RN_MB'
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110000-0005-01,2025-10-06T22:00:00-07:00,3600,100,8,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110000-0006-01,2025-10-06T22:00:00-07:00,3600,100,4,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110000-0007-01,2025-10-06T22:00:00-07:00,3600,100,24,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110000-0008-01,2025-10-06T22:00:00-07:00,3600,100,8,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110000-0009-01,2025-10-06T22:00:00-07:00,3600,100,20,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110010-0010-01,2025-10-06T22:00:00-07:00,3600,100,24,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110011-0011-01,2025-10-06T22:00:00-07:00,3600,100,16,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110012-0012-01,2025-10-06T22:00:00-07:00,3600,100,4,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110013-0013-01,2025-10-06T22:00:00-07:00,3600,100,0,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110014-0014-01,2025-10-06T22:00:00-07:00,3600,100,0,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110015-0015-01,2025-10-06T22:00:00-07:00,3600,100,20,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110016-0016-01,2025-10-06T22:00:00-07:00,3600,100,12,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110017-0017-01,2025-10-06T22:00:00-07:00,3600,100,16,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110018-0018-01,2025-10-06T22:00:00-07:00,3600,100,4,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110019-0019-01,2025-10-06T22:00:00-07:00,3600,100,16,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110020-0020-01,2025-10-06T22:00:00-07:00,3600,100,12,0,0,0,0
Global,S. California,VCP Far Edge,NR,,5GNB_WEWORK_IRVINE,04700110021-0021-01,2025-10-06T22:00:00-07:00,3600,100,0,0,0,0,0
Global,S. California,VCP Far Edge,NR,,VIST,04700300000-0001-01,2025-10-06T22:00:00-07:00,3600,100,0,0,0,0,0
Global,S. California,VCP Far Edge,NR,,VIST,04700300000-0002-01,2025-10-06T22:00:00-07:00,3600,100,0,0,0,0,0
Global,*,VCP Far Edge,NR,,*,000000*000*-*-*,,3600,5200.0,326.0,7712.0,31609.52,31482.83,3391.33
