KpiDetailID,SapID,KpiDataSourceID,CreatedDte,MarketExpr,RegionExpr,VcpTypeExpr,TechnologyExpr,DataCenterExpr,Valid,UpdatedDte,SiteExpr,created,updated
3489,04fa8113-f4de-59b5-9f76-52f8ff196db4,9,1661843275,'Global',/REGION,'VCP Far Edge','NR','',0,1661843275,/SITE,6/3/2025 10:22,6/3/2025 10:22
5348,66638986-75de-11ea-bdf7-05e82a428ba8,3,1661843288,'Global','US','VCP Core 1.x','LTE',"csvLookup('dataCenter', /Site, 'undefined')",1,1661843288,"substring(/deviceName, 0, 8)",6/3/2025 10:22,6/3/2025 10:22
5868,d4262497-7534-11ea-8c30-3b621d33377e,3,1661843292,'Global','US','VCP Core 1.x','LTE',"csvLookup('dataCenter', /Site, 'undefined')",1,1661843292,"substring(/deviceName, 0, 8)",6/3/2025 10:22,6/3/2025 10:22
7698,74801495-1c34-11eb-b59a-2d54dfc17bc9,2,1661843305,'Global','US','VCP Core 1.x','LTE',"csvLookup('dataCenter', /Site, 'undefined')",1,1661843305,"substring(/deviceName, 0, 8)",6/3/2025 10:22,6/3/2025 10:22
7945,f9b38ffb-5fa1-11eb-9387-1b5bc46b7b7a,7,1661843307,'Global','US','VCP Core 1.x','',"csvLookup('dataCenter', /NFName, 'undefined')",0,1661843307,"csvLookup('site', /NFName, 'undefined')",6/3/2025 10:22,6/3/2025 10:22
8232,0501162c-5fa2-11eb-9387-89ed062d907f,7,1662462070,'Global','US','VCP Core 1.x','',"csvLookup('dataCenter', /NFName, 'undefined')",0,1662462070,"csvLookup('site', /NFName, 'undefined')",6/3/2025 10:22,6/3/2025 10:22
8239,f61cd612-7536-11ea-8c30-ebf2d8cbf174,2,1662548541,'Global','US','VCP Edge 1.x','LTE',"csvLookup('dataCenter', /Site, 'undefined')",1,1662548541,"substring(/deviceName, 0, 8)",6/3/2025 10:22,6/3/2025 10:22
8310,afaf684d-1c33-11eb-b59a-8f92bb5d7ff6,2,1662737677,'Global','US','VCP Core 1.x','LTE',"csvLookup('dataCenter', /Site, 'undefined')",1,1662737677,"substring(/deviceName, 0, 8)",6/3/2025 10:22,6/3/2025 10:22
8332,093f139b-d8cf-11ea-8b0c-9118a2ab378a,2,1662976688,'Global','US','VCP Core 1.x','LTE',"csvLookup('dataCenter', /Site, 'undefined')",1,1662976688,"substring(/deviceName, 0, 8)",6/3/2025 10:22,6/3/2025 10:22
8339,5fae2f61-1c34-11eb-b59a-37a20a96f5dd,3,1663091799,'Global','US','VCP Core 1.x','LTE',"csvLookup('dataCenter', /Site, 'undefined')",1,1663091799,"substring(/deviceName, 0, 8)",6/3/2025 10:22,6/3/2025 10:22
8346,f87d77ce-7535-11ea-8c30-650eaae3e20b,2,1667485816,'Global','US','VCP Core 1.x','LTE',"csvLookup('dataCenter', /Site, 'undefined')",1,1667485816,"substring(replace(/deviceName, 'ems-Affirmed: ', ''), 0, 8)",6/3/2025 10:22,6/3/2025 10:22
8354,76b6fae8-097c-11eb-b59a-b54e06ae8254,2,1674148130,'Global','US','VCP Core 1.x','LTE',"csvLookup('dataCenter', /Site, 'undefined')",1,1674148130,"substring(/deviceName, 0, 8)",6/3/2025 10:22,6/3/2025 10:22
8364,8337455a-8f12-487e-bff2-368d5d535a08,4,1676395146,'Global','US','VCP Edge 1.x','',"csvLookup('dataCenter', /Site, 'undefined')",0,1676395146,"toUpperCase(substringBefore(/system_name,'-'))",6/3/2025 10:22,6/3/2025 10:22
8373,91038fff-5a5d-11eb-bac5-87770b43bf42,6,1678902012,'Global','US','VCP Core 1.x','NR',"csvLookup('dataCenter', /Site, 'undefined')",0,1678902012,"{[not(isEmpty(/labels/kubernetes_namespace))] -> toUpperCase(substring(/labels/kubernetes_namespace, 0, 8)), [not(isEmpty(/labels/namespace))] -> toUpperCase(substring(/labels/namespace, 0, 8))}",6/3/2025 10:22,6/3/2025 10:22
8387,1e08a648-b655-11ea-b65a-b3ffe6790b0f,3,1685045026,'Global','US','VCP Core 1.x','LTE',"csvLookup('dataCenter', /Site, 'undefined')",0,1685045026,"substring(/deviceName, 0, 8)",6/3/2025 10:22,6/3/2025 10:22
8388,VNF_Samsung_aSTqltjLey,13,1685050680,/MARKET,/REGION,'VCP Edge 1.x','NR','',0,1685050680,'',6/3/2025 10:22,6/3/2025 10:22
8389,VNF_Samsung_aSTqltjLey,12,1685050680,/MARKET,/REGION,'VCP Edge 1.x','NR','',0,1685050680,'',6/3/2025 10:22,6/3/2025 10:22
8402,3205533d-5a5d-11eb-bac5-c9d776dbeded,6,1686680792,'Global','US','VCP Core 1.x','NR',"csvLookup('dataCenter', /Site, 'undefined')",0,1686680792,"{[not(isEmpty(/labels/kubernetes_namespace))] -> toUpperCase(substring(/labels/kubernetes_namespace, 0, 8)), [not(isEmpty(/labels/namespace))] -> toUpperCase(substring(/labels/namespace, 0, 8))}",6/3/2025 10:22,6/3/2025 10:22
