DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DUNAME,DU,SECTOR,CARRIER,5GNR_ENDC_Drop%,5GNR_ENDC_Drop_%_num,5GNR_ENDC_Drop_%_den,S5NR_Cell_Availability_%,ErabAddAtt_per_GNB,ErabAddSucc_per_GNB,S5NR_DLMACLayerDataVolume_MB,S5NR_DLPRBUtilization_%,S5NR_DLUserPerceivedTput_Mbps,S5NR_PDCCH_SlotRationBlocking_DL_%,S5NR_PDCCH_SlotRationBlocking_Tot_%,S5NR_PDCCH_SlotRationBlocking_UL_%,S5NR_PUCCH_BLER_%,S5NR_PUCCHAvgSINR_dB,S5NR_PUSCHAvgSINR_dB,S5NR_TotalDLRLCLayerDataVolume_MB,S5NR_TotalERABSetupFailureRate_%,S5NR_TotalULRLCLayerDataVolume_MB,S5NR_ULMACLayerDataVolume_MB,S5NR_ULPRBUtilization_%,S5NR_ULUserPerceivedTput_Mbps,S5NC_DRBDrop_%_SA,S5NC_NRDCAdd_MN_Succ_%_SA,S5NC_NGSetupFailure_%_SA,S5NC_RRCSetupFailure_%_SA,S5NC_EPSFB_IRAT_HO_PrepFailure_%_SA,S5NC_EmergFB_IRAT_HO_Failure_%_SA,S5NC_EPSFB_IRAT_HO_Failure_%_SA,RssiPathAvg_Path0,RssiPathAvg_Path1,RssiPathAvg_Path2,RssiPathAvg_Path3,RssiPathAvg,S5NR_PDCCH_Blocking_Tot_%,S5NC_MaxUENo_SPID125,S5ND_TotalMACDataVolumeDL_MB_SPID125,S5ND_DLUeThru_Mbps_SPID125,S5NC_ERAB_Drop_Rate_FWA_%_num,S5NC_ERAB_Drop_Rate_FWA_%,S5NC_ERABSetupFailureRate%_QCI132,S5NR_TotalERABSetupFailureRate_%_num,S5NR_TotalERABSetupFailureRate_%_den,S5NC_DRBDrop_num_SA,S5NC_DRBDrop_den_SA,S5NC_DRBSetupFail_%_SA,S5NC_DRBSetupFail_num_SA,S5NC_DRBSetupFail_den_SA,S5NR_IntragNBHOFailRate_%,S5NR_IntragNBHOFailRate_den,S5NR_IntragNBHOFailRate_num,S5NR_IntergNBHOFailRate_%,S5NR_IntergNBHOFailRate_den,S5NR_IntergNBHOFailRate_num,S5NR_AvgRRCconnectedUsersPerDU_PerCell,Sum_DLRLCDataVolume_MB
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0080,80,1,16.67,3,18,100,11,11,44.55,0.14,121.62,0.01,0.01,0.01,1.12,16.75,13.92,34.96,0,6.63,9.58,0.06,10.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.97,-115.02,-115.24,-114.95,-115.3,0.01,0,0,NaN,0,NaN,NaN,0,11,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.06,55.78
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0080,80,2,0,0,3,100,4,4,12.19,0.03,101.33,0,0,0,0.84,15.82,13.58,3.36,0,0.09,0.22,0,1.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.14,-115.16,-115.72,-115.22,-115.56,0,0,0,NaN,0,NaN,NaN,0,4,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.02,3.36
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0080,80,3,0,0,4,100,2,2,14.58,0.03,228.9,0,0,0,2.54,17.26,14.36,7.5,0,0.24,0.49,0,6.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.97,-115.33,-115.22,-115.2,-115.43,0,0,0,NaN,0,NaN,NaN,0,2,0,0,NaN,0,0,0,2,0,NaN,0,0,0.04,7.5
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0081,81,1,0,0,14,100,14,14,19.11,0.11,23.67,0,0,0,4.04,16.45,12.44,15.91,0,1.67,3.17,0.03,1.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.5,-114.03,-115.15,-115.52,-115.05,0,0,0,NaN,0,NaN,NaN,0,14,0,0,NaN,0,0,0,6,0,NaN,0,0,0.06,15.91
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0081,81,2,0,0,1,100,1,1,2.15,0.01,99.07,0,0,0,0.29,18.03,14.26,0.57,0,0.12,0.24,0,7.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.61,-114.41,-115.36,-115.63,-115.25,0,0,0,NaN,0,NaN,NaN,0,1,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.02,0.57
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0082,82,1,0,0,9,100,9,9,20.62,0.06,82.33,0,0,0,4,16.86,12.25,16.07,0,1,2.52,0.02,5.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.11,-115.22,-113.98,-115.01,-114.83,0,0,0,NaN,0,NaN,NaN,0,9,0,0,NaN,0,0,0,3,0,NaN,0,0,0.07,16.07
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0082,82,2,0,0,1,100,1,1,2.05,0.01,123.36,0,0,0,3.61,16.78,13.29,0.07,0,0.01,0.04,0,7.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.42,-115.45,-114.51,-115.35,-115.18,0,0,0,NaN,0,NaN,NaN,0,1,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0,0.07
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0095,95,1,NaN,0,0,100,4,4,695.54,0.41,301.73,0,0,0,0.05,18.33,21.58,320.64,0,10.77,38.28,0.11,54.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-112.03,-114.8,-115.1,-115.23,-114.29,0,1,660.83,301.73,0,NaN,NaN,0,4,0,0,NaN,0,0,NaN,0,0,NaN,0,0,1,345.07
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0095,95,2,0,0,15,100,20,20,78.97,0.14,103.48,0.02,0.02,0,0.05,16.74,11.78,31.98,0,2.16,6.33,0.06,4.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.36,-115.26,-115.85,-115.77,-115.81,0.02,1,61.99,105.01,0,0,0,0,20,0,0,NaN,0,0,0,1,0,NaN,0,0,1.01,31.98
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0095,95,3,13.64,3,22,100,17,17,63.43,0.11,301.62,0,0,0,1.92,16.73,11.28,69.58,0,8.59,6.95,0.05,18.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.5,-115.49,-115.9,-116.13,-115.75,0,0,18.64,NaN,0,NaN,NaN,0,17,0,0,NaN,0,0,0,7,0,NaN,0,0,0.12,69.58
