DAY,HR,5G,REGION,MARKET,MARKET_DESC,S5NR_TotalERABSetupFailureRate_%,ErabAddAtt_per_GNB,S5NR_DLMACLayerDataVolume_MB,S5NR_ULMACLayerDataVolume_MB,S5NR_TotalDLRLCLayerDataVolume_MB,S5NR_TotalULRLCLayerDataVolume_MB,S5NR_DLUserPerceivedTput_Mbps,S5NR_ULUserPerceivedTput_Mbps,5GNR_ENDC_Drop_%_den,5GNR_ENDC_Drop_%_num,5GNR_ENDC_Drop%,S5NR_RACH_SR%,S5NR_DLPRBUtilization_%,S5NR_ULPRBUtilization_%,S5NR_IntragNBHOFailRate_%,S5NR_IntragNBHOFailRate_den,S5NR_IntragNBHOFailRate_num,S5NR_IntergNBHOFailRate_%,S5NR_IntergNBHOFailRate_den,S5NR_IntergNBHOFailRate_num,S5NR_RACH_CB_SR%,S5NR_RACH_CF_SR%,S5NR_RACH_Att_MSG2_CB,S5NR_RACH_Att_MSG2_CF,S5NR_RACH_Att_MSG3_CB,S5NR_RACH_Att_MSG3_CF,S5NR_RACH_Att_MSG5_CB,S5NR_PUCCH_BLER_%,EndcRelBySgnb_DL_randomAccessProblem,EndcRelBySgnb_DL_rlcMaxNumRetx,EndcRelBySgnb_DL_scgReconfFailure,EndcRelBySgnb_DL_srb3IntegrityFailure,EndcRelBySgnb_DL_t310Expiry,EndcRelBySgnb_UL_outOfSync,EndcRelBySgnb_UL_srb3IntegrityFailure,EndcRelBySgnb_per_GNB,EndcRelByMeNB_radioConnectionWithUeLost,EndcRelByMenb_per_GNB,ENDCRELBYMENB_UECUSTOMSIGNATURE_FAILRADINTERPROC,ENDCRELBYMENB_UEPOWERSAVING,ENDCRELBYSGNB_MRBASEDSUSPENDRESUME,ENDCRELBYSGNB_USERINACTIVITY,EndcRelBySgnb_DL_syncReconfFailure,EndcRelBySgnb_UL_rlcMaxNumRetx,ErabAddSucc_per_GNB,CellAvailPmPeriodTime,CellAvailability,CellUnavailableTimeDown,S5NR_PUSCHAvgSINR_dB,S5NR_PUCCHAvgSINR_dB,CAUSEE1APTRANSPORTLAYERUNSPECIFIED,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,S5NR_PDCCH_SlotRationBlocking_DL_%,S5NR_PDCCH_SlotRationBlocking_UL_%,S5NR_PDCCH_SlotRationBlocking_Tot_%,S5NC_DRBDrop_%_SA,S5NC_DRBSetupFail_%_SA,S5NR_TotalERABSetupFailureRate_%_num,S5NR_TotalERABSetupFailureRate_%_den,S5NC_DRBDrop_num_SA,S5NC_DRBDrop_den_SA,S5NC_DRBSetupFail_num_SA,S5NC_DRBSetupFail_den_SA,Sum_DLRLCDataVolume_MB
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,0.06,501314,10495543.24,859295.63,9122933.89,523587.92,132.36,4.33,673553,11195,1.66,75.87,1.3,1.31,0.21,187756,398,0.52,67001,347,71.57,82.08,1246637,862661,907210,708049,892256,0.6,4326,118,0,0,661,0,0,1624,0,321374,19219,14,0,23603,1626,7,501028,24548400,94.99,1216800,14.07,9.05,0,0,1.18,0.74,1.05,0.47,0.03,286,501314,3458,734494,228,734176,10455760.98
Total,*,*,*,*,*,0.06,501314,10495543.24,859295.63,9122933.89,523587.92,132.36,4.33,673553,11195,1.66,75.87,1.3,1.31,0.21,187756,398,0.52,67001,347,71.57,82.08,1246637,862661,907210,708049,892256,0.6,4326,118,0,0,661,0,0,1624,0,321374,19219,14,0,23603,1626,7,501028,24548400,94.99,1216800,14.07,9.05,0,0,1.18,0.74,1.05,0.47,0.03,286,501314,3458,734494,228,734176,1.045576098E7
