DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DUNAME,DU,SECTOR,CARRIER,5GNR_ENDC_Drop%,5GNR_ENDC_Drop_%_num,5GNR_ENDC_Drop_%_den,S5NR_Cell_Availability_%,ErabAddAtt_per_GNB,ErabAddSucc_per_GNB,S5NR_DLMACLayerDataVolume_MB,S5NR_DLPRBUtilization_%,S5NR_DLUserPerceivedTput_Mbps,S5NR_PDCCH_SlotRationBlocking_DL_%,S5NR_PDCCH_SlotRationBlocking_Tot_%,S5NR_PDCCH_SlotRationBlocking_UL_%,S5NR_PUCCH_BLER_%,S5NR_PUCCHAvgSINR_dB,S5NR_PUSCHAvgSINR_dB,S5NR_TotalDLRLCLayerDataVolume_MB,S5NR_TotalERABSetupFailureRate_%,S5NR_TotalULRLCLayerDataVolume_MB,S5NR_ULMACLayerDataVolume_MB,S5NR_ULPRBUtilization_%,S5NR_ULUserPerceivedTput_Mbps,S5NC_DRBDrop_%_SA,S5NC_NRDCAdd_MN_Succ_%_SA,S5NC_NGSetupFailure_%_SA,S5NC_RRCSetupFailure_%_SA,S5NC_EPSFB_IRAT_HO_PrepFailure_%_SA,S5NC_EmergFB_IRAT_HO_Failure_%_SA,S5NC_EPSFB_IRAT_HO_Failure_%_SA,RssiPathAvg_Path0,RssiPathAvg_Path1,RssiPathAvg_Path2,RssiPathAvg_Path3,RssiPathAvg,S5NR_PDCCH_Blocking_Tot_%,S5NC_MaxUENo_SPID125,S5ND_TotalMACDataVolumeDL_MB_SPID125,S5ND_DLUeThru_Mbps_SPID125,S5NC_ERAB_Drop_Rate_FWA_%_num,S5NC_ERAB_Drop_Rate_FWA_%,S5NC_ERABSetupFailureRate%_QCI132,S5NR_TotalERABSetupFailureRate_%_num,S5NR_TotalERABSetupFailureRate_%_den,S5NC_DRBDrop_num_SA,S5NC_DRBDrop_den_SA,S5NC_DRBSetupFail_%_SA,S5NC_DRBSetupFail_num_SA,S5NC_DRBSetupFail_den_SA,S5NR_IntragNBHOFailRate_%,S5NR_IntragNBHOFailRate_den,S5NR_IntragNBHOFailRate_num,S5NR_IntergNBHOFailRate_%,S5NR_IntergNBHOFailRate_den,S5NR_IntergNBHOFailRate_num,S5NR_AvgRRCconnectedUsersPerDU_PerCell,Sum_DLRLCDataVolume_MB
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0095,95,1,NaN,0,0,100,4,4,1541.4,1.35,184.96,0,0,0,0.02,17.72,19.52,760.35,0,64.85,152.3,0.31,68.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-107.31,-112.42,-113.74,-115.14,-112.15,0,1,1541.15,184.96,0,NaN,NaN,0,4,0,0,NaN,0,0,NaN,0,0,NaN,0,0,1,760.45
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0095,95,2,7.14,1,14,100,14,14,87.91,0.45,16.76,0.01,0,0,0.02,16.92,10.47,24.37,0,231.89,262.23,1.83,21.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.16,-115.48,-115.6,-115.89,-115.78,0,1,87.91,16.76,1,9.09,0,0,14,0,0,NaN,0,0,0,3,0,NaN,0,0,0.99,24.37
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0095,95,3,100,1,1,100,1,1,8.3,0.01,NaN,0,0,0,NaN,0,2.13,0,0,0,0.35,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.69,-115.87,-115.87,-116.42,-115.96,0,0,8.3,NaN,0,NaN,NaN,0,1,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0,0
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0096,96,1,NaN,0,0,100,4,4,1909.13,1.49,168.92,0,0,0,0.03,17.95,21.59,876.67,0,11.22,67.37,0.11,159.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-111.89,-115.42,-111.19,-114.21,-113.18,0,1,1909.13,168.92,0,NaN,NaN,0,4,0,0,NaN,0,0,NaN,0,0,NaN,0,0,1,876.67
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0096,96,2,0,0,1,100,0,0,27.7,0.08,27.73,0,0,0,2.63,15.94,7.5,6.03,NaN,0,0.91,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-117.51,-117.44,-116.89,-116.14,-116.99,0,0,8.79,NaN,0,NaN,NaN,0,0,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.08,6.03
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0097,97,1,NaN,0,0,100,4,4,220.53,0.19,98.91,0,0,0,0.03,18.23,21.08,103.16,0,447.37,589.98,0.94,96.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-112.07,-113.7,-111.14,-113.78,-112.67,0,1,220.24,98.91,0,NaN,NaN,0,4,0,0,NaN,0,0,NaN,0,0,NaN,0,0,1,103.22
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0097,97,2,0,0,3,100,3,3,8.02,0.01,88.76,0,0,0,2.33,15.13,13.99,2.44,0,0.09,0.21,0,4.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.17,-115.66,-115.33,-116.03,-115.8,0,0,3.81,NaN,0,NaN,NaN,0,3,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.02,2.44
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ARGYLE_PARK-HNRT,0087,87,1,0,0,2,100,2,2,4.65,0.02,32.88,0,0,0,0.3,16.36,11.08,5.32,0,0.01,0.1,0,2.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.25,-115.15,-115.9,-115.65,-115.74,0,0,0,NaN,0,NaN,NaN,0,2,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.03,5.32
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0047,47,1,11.54,3,26,100,21,21,123.69,0.23,97.56,0.01,0.01,0.02,7.71,16.46,13.89,100.1,0,1.79,5.49,0.05,2.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.05,-115.94,-115.67,-115.02,-115.67,0.01,0,0,NaN,0,NaN,NaN,0,21,0,0,NaN,0,0,0,5,0,NaN,0,0,0.09,104.82
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,BAILEY CLINTON-HNRT,0047,47,2,0,0,3,100,3,3,12.29,0.03,27.18,0.01,0.01,0,9.43,16.66,9.71,0.51,0,0.07,0.14,0,1.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.83,-116.12,-116.69,-115.11,-115.94,0.01,0,0,NaN,0,NaN,NaN,0,3,0,0,NaN,0,0,0,1,0,NaN,0,0,0.01,0.51
