Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'DU.DL_GTP_Data_Volume_RN_MB','DU.ENDC.Sessions.RN','DU.Intra.CU.HO.Attempts.number','DU.Max.ENDC.Sessions.RN.number','DU.Intra_CU_HO_Attempts_RN','DU.Intra_CU_HO_Success_RN','DU.Intra_CU_HO_Success_Rate_RN_pct','DU.SgNB_Modification_Attempts_RN','DU.SgNB_Modification_Success_RN','DU.SgNB_Modification_Success_Rate_RN_pct','DU.UL_GTP_Data_Volume_RN_MB','DU.Attach_Success_rate_pct_RN','DU.Attach_Success_RN_Num','DU.Attach_Success_RN_Den','DU.Drop_rate_pct_RN','DU.Drop_RN_Num','DU.Drop_RN_Den','DU.DL_Tput_RN_Mbps','DU.UL_Tput_RN_Mbps','DU.UL_TTI_Util_Rate_pct_RN','DU.DL_TTI_Util_Rate_pct_RN','DU.DL_HARQ_Residual_BLER_pct_RN','DU.UL_HARQ_Residual_BLER_pct_RN','DU.Cell_Availability_RN'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000,2025-09-27T00:00:00-04:00,3600,121.9,64,,13,0,0,NaN,16,16,100,18.24,100,4,4,0,0,4,85.35,17.84,0.57,0.19,0.13,0.3,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000,2025-09-27T00:00:00-04:00,3600,1.05,9,,4,0,0,NaN,13,13,100,0.97,76.92,10,13,20,2,10,9.56,9.69,0.06,0.02,22.71,1.46,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000,2025-09-27T00:00:00-04:00,3600,18.5,6,,4,0,0,NaN,411,411,100,2.6,100,505,505,0.6,3,504,81.47,16.06,0.1,0.03,2.77,0.04,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000,2025-09-27T00:00:00-04:00,3600,0,0,,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000,2025-09-27T00:00:00-04:00,3600,108.89,32,,7,3,3,100,535,535,100,17.99,100,1288,1288,0.7,9,1284,31.95,4.18,0.51,0.4,17.26,0.03,100
Global,*,VCP Far Edge,NR,,*,000000*000*,,3600,250.34,111,,13,3,3,100,975,975,100,39.8,99.83,1807,1810,0.78,14,1802,47.68,7.01,0.25,0.13,9.82,0.21,100
