DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/27/2025,12,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0001,548.56,75,2,2,100,23,60,60,100,80.04,99.48,193,194,3.11,6,193,43,21.88,4.4,3.79,3.62,0.11,100,100,75,194,5112.92,5097.41
09/27/2025,12,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0002,2.73,12,2,2,100,4,3,3,100,2.8,80,4,5,0,0,4,6.45,7.82,0.43,0.13,1.88,0.11,100,100,12,5,25.49,25.35
09/27/2025,12,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0001,83.99,40,16,12,75,16,32,32,100,15.81,96.99,129,133,15.97,19,119,49.18,19.06,0.99,0.5,14.51,1.47,100,100,40,133,782.81,780.22
09/27/2025,12,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0002,60.88,15,20,16,80,7,33,33,100,17.11,100,114,114,20.56,22,107,30.52,22.8,0.9,0.58,10.17,0.08,100,100,15,114,567.47,565.61
09/27/2025,12,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0001,977.21,22,45,45,100,10,619,619,100,38.91,100,859,859,1.02,9,884,228.95,19.73,2.34,1.24,2.3,0.04,100,100,22,859,9108.3,9083.79
09/27/2025,12,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0002,594.17,16,71,71,100,9,290,290,100,95.15,99.6,494,496,1.28,6,467,32.74,31.65,3.53,5.15,1.72,0.03,100,100,16,496,5538.03,5522.65
09/27/2025,12,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0001,17.87,1,15,15,100,2,11,11,100,0.6,96.55,28,29,0,0,29,141.08,2.44,0.06,0.03,1.1,0,100,100,1,29,166.56,166.16
09/27/2025,12,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0002,222.81,4,16,16,100,4,21,21,100,216.18,100,84,84,1.2,1,83,26.02,13.41,3.78,2.01,0.93,0.04,100,100,4,84,2076.74,2069.63
09/27/2025,12,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0001,1166.53,28,38,38,100,12,269,269,100,299.91,100,852,852,0.59,5,843,82.44,13.97,5.04,3.31,1.55,0.05,100,100,28,852,10872.88,10843.45
09/27/2025,12,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0002,465.67,36,35,35,100,15,669,669,100,64.02,99.84,1225,1227,0.9,11,1216,88.75,6.64,2.28,1.23,3.68,0.11,100,100,36,1227,4340.35,4327.99
Total,*,*,*,*,*,*,*,*,*,4140.43,249,260,252,96.92,23,2007,2007,100,830.53,99.72,3982,3993,2,79,3945,61.52,14.31,2.38,1.8,2.64,0.12,100,1000.0,249.0,3993.0,38591.549999999996,38482.26
