DAY,HR,5G,REGION,MARKET,MARKET_DESC,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT,DL_GTP_Data_Volume_MB,ENDC_Sessions,Intra_CU_HO_Attempts,Intra_CU_HO_Success,Intra_CU_HO_Success_Rate_%,Max_ENDC_Sessions,SgNB_Modification_Attempts,SgNB_Modification_Success,SgNB_Modification_Success_Rate_%,UL_GTP_Data_Volume_MB,Drop_Den,Drop_Num,Drop_rate_%,Attach_Success_Den,Attach_Success_Num,Attach_Success_rate_%
09/27/2025,03,5GNR,Florida,143,Jacksonville,827.69,125,0,0,NaN,14,1280,1280,100,85.3,99.94,1706,1707,0.77,13,1695,97.69,8.05,0.49,0.22,4.02,0.17,100,100,125,1707,7714.59,7691.92,827.69,117,0,0,NaN,15,1295,1280,98.84,85.3,1695,13,0.77,1706,1705,99.94
Total,*,*,*,*,*,827.69,125,0,0,NaN,14,1280,1280,100,85.3,99.94,1706,1707,0.77,13,1695,97.69,8.05,0.49,0.22,4.02,0.17,100,100.0,125.0,1707.0,7714.59,7691.92,827.69,117.0,0,0,NaN,15,1295.0,1280.0,98.84,85.3,1695,13,0.77,1706,1705,99.94
