DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/27/2025,13,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,491.15,88,52,51,98.08,25,58,58,100,70.04,100,201,201,3.48,7,201,7.72,7.02,5.97,9.33,0.66,0.06,100,100,88,201,4577.87,4564.23
09/27/2025,13,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,373.25,69,218,207,94.95,18,42,42,100,68.9,100,293,293,16.67,44,264,25.53,21.67,1.91,2.13,5.66,0.39,100,100,69,293,3478.96,3467.85
09/27/2025,13,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,573.28,38,110,109,99.09,9,989,989,100,118.02,99.93,1366,1367,0.88,12,1366,44.81,36.62,1.86,1.94,1.98,0.07,100,100,38,1367,5343.33,5327.62
09/27/2025,13,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,46.38,6,2,2,100,3,46,46,100,8.06,98.68,75,76,1.33,1,75,59.24,4.85,0.2,0.09,1.37,0.18,100,100,6,76,432.25,430.9
09/27/2025,13,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,3561.21,63,47,46,97.87,14,947,947,100,107.68,99.95,2140,2141,0.38,8,2126,47.78,2.73,4.73,8.72,0.75,0.11,100,100,63,2141,33192.9,33109.96
Total,*,*,*,*,*,*,*,*,5045.27,264,429,415,96.74,25,2082,2082,100,372.7,99.93,4075,4078,1.79,72,4032,30.34,6.42,2.93,4.44,1.22,0.12,100,500.0,264.0,4078.0,47025.31,46900.56
